Model,MSE,RMSE,MAE,MAPE,R-Squared
Direct_No_MFDFA_Ridge,0.0004301450278995248,0.020739937991699126,0.012046699017974768,0.2765125240441771,0.2782193185898518
Direct_No_MFDFA_LSTM,0.000477027247053477,0.02184095343737258,0.011917288381248677,0.24894988293487708,0.19955124644637068
Direct_No_MFDFA_BI-LSTM,0.000483418090737999,0.021986770811967794,0.012043738820179981,0.2538224765260021,0.18882745049335203
Direct_No_MFDFA_GRU,0.0004753048267746753,0.021801486801928793,0.011951289248217868,0.2505224905630989,0.20244145696113347
Direct_No_MFDFA_BI-GRU,0.00048005831889635404,0.021910233200410124,0.01218035372357156,0.25549589557786434,0.19446512674660765
Direct_With_MFDFA_Ridge,0.00043003969368190235,0.020737398430900205,0.0119277661086711,0.2674105558148603,0.2783960687518673
Direct_With_MFDFA_LSTM,0.00048468648191395336,0.022015596333371336,0.01238418601732838,0.2676351607992364,0.18669909798920825
Direct_With_MFDFA_BI-LSTM,0.0004832852176590614,0.02198374894459681,0.012526915746983216,0.27231089993830715,0.1890504106933687
Direct_With_MFDFA_GRU,0.0005234361133012881,0.022878726216756216,0.012684016622836768,0.2663948762264668,0.12167745753524584
Direct_With_MFDFA_BI-GRU,0.0004954608320534352,0.022258949482251746,0.012682899106679356,0.27499130019443696,0.16861980546919042
Hybrid_Benchmark_No_MFDFA_Ridge,0.000410506202432295,0.020260952653621572,0.010920723910143499,0.22878166811019982,0.3111731455747895
Hybrid_Benchmark_No_MFDFA_LSTM,0.0004297470148227839,0.020730340441555316,0.011003557004920726,0.2219273304598557,0.2788871820570713
Hybrid_Benchmark_No_MFDFA_BI-LSTM,0.00043617778300744154,0.020884869714878317,0.011123871554868195,0.223319885468133,0.2680963930411464
Hybrid_Benchmark_No_MFDFA_GRU,0.0004171451455086705,0.020424131450533473,0.010983211909490398,0.22421615779104037,0.30003304038536294
Hybrid_Benchmark_No_MFDFA_BI-GRU,0.0004122331472024546,0.020303525487029454,0.010927492945107461,0.22248809256533705,0.30827534299166937
Hybrid_Benchmark_With_MFDFA_Ridge,0.0004168874918134808,0.020417822896025933,0.01097145349194678,0.22552304991402153,0.30046538168334336
Hybrid_Benchmark_With_MFDFA_LSTM,0.00044076949131085656,0.02099451098051242,0.011501791377132519,0.23560837761265602,0.2603915350674082
Hybrid_Benchmark_With_MFDFA_BI-LSTM,0.0004448228377805017,0.021090823544387776,0.011641838430178469,0.2413979637169994,0.25359004490224635
Hybrid_Benchmark_With_MFDFA_GRU,0.00045992170576097556,0.021445785267995565,0.011955884438917513,0.24898965357553784,0.2282542383425714
Hybrid_Benchmark_With_MFDFA_BI-GRU,0.0004469028858280737,0.021140077715752933,0.012020538744198003,0.2509626867911138,0.2500997372158511
Hybrid_Delta_H_No_MFDFA_Ridge,0.00040998118335746535,0.020247992082116816,0.010914125361982462,0.22903109000785885,0.3120541243168531
Hybrid_Delta_H_No_MFDFA_LSTM,0.0004211800824757808,0.020522672400927245,0.010852565428359742,0.2192702471424516,0.2932624412509516
Hybrid_Delta_H_No_MFDFA_BI-LSTM,0.0004346090634136839,0.02084727952068768,0.011152795808854287,0.22495511920283878,0.2707286947623889
Hybrid_Delta_H_No_MFDFA_GRU,0.00043422576109664404,0.020838084391244894,0.011302679217882763,0.23140750570716206,0.27137187366632776
Hybrid_Delta_H_No_MFDFA_BI-GRU,0.000416975035138923,0.0204199665802597,0.011166488156006765,0.23010537049483354,0.300318484527751
Hybrid_Delta_H_With_MFDFA_Ridge,0.00041556022365942094,0.02038529429906326,0.010948960541728404,0.225093251440977,0.3026925293905466
Hybrid_Delta_H_With_MFDFA_LSTM,0.00044167519503469606,0.02101606992362502,0.011338941487943106,0.2308665216063428,0.2588717698520788
Hybrid_Delta_H_With_MFDFA_BI-LSTM,0.00044828963098699854,0.021172851272018102,0.011621136292460877,0.23713628619271612,0.2477727874644181
Hybrid_Delta_H_With_MFDFA_GRU,0.00045611353622448193,0.02135681474903226,0.011921453988731828,0.24802993943173196,0.23464432313885042
Hybrid_Delta_H_With_MFDFA_BI-GRU,0.0004384419296493147,0.020939004982312666,0.011785621278441594,0.24795413465437408,0.2642971690585658
Hybrid_Delta_Alpha_No_MFDFA_Ridge,0.0004103706237087677,0.020257606564171585,0.010927874685641964,0.2293382697957001,0.31140064582959914
Hybrid_Delta_Alpha_No_MFDFA_LSTM,0.0004279356944825229,0.02068660664494114,0.010994917257970254,0.22157008216554347,0.2819265663220244
Hybrid_Delta_Alpha_No_MFDFA_BI-LSTM,0.0004294134830110471,0.020722294347177077,0.011017332320548906,0.22161955289622956,0.2794468463626729
Hybrid_Delta_Alpha_No_MFDFA_GRU,0.0004187215781956502,0.020462687462688037,0.010990620468222509,0.22487633301840443,0.29738779614166744
Hybrid_Delta_Alpha_No_MFDFA_BI-GRU,0.0004214931694012002,0.0205302988142209,0.011251257979147274,0.2303923535430852,0.2927370833374281
