Model,MSE,RMSE,MAE,MAPE,R-Squared
"GARCH(1,1)",0.000532316059778029,0.02307197563664692,0.013116272981468351,0.27648372614156624,0.10677696257854297
GARCH-MIDAS Only (Benchmark),0.0005612172209844518,0.023690023659432083,0.01242478158017016,0.26305538802638917,0.05828099383288299
GARCH-MIDAS Only (Delta_H),0.0005594518967789879,0.023652735503086907,0.012383020207634415,0.26267586209198895,0.06124319686973223
GARCH-MIDAS Only (Delta_Alpha),0.0005610157949842172,0.023685771994685273,0.01242907340642018,0.2636209067619307,0.05861898540845212
Direct_No_MFDFA_Ridge,0.0004301450278995248,0.020739937991699126,0.012046699017974768,0.2765125240441771,0.2782193185898518
Direct_No_MFDFA_LSTM,0.0004698506077250349,0.02167603763894672,0.012053333614752292,0.25458002095888344,0.21159360260241533
Direct_No_MFDFA_BI-LSTM,0.00044571124833134155,0.02111187458117686,0.011677924535109848,0.24678700935246517,0.2520992975236507
Direct_No_MFDFA_GRU,0.0004940922004168952,0.022228184820558227,0.01209063876575535,0.25203936585934644,0.17091636084272388
Direct_No_MFDFA_BI-GRU,0.0004651795691978393,0.021568021912030767,0.01204273005405567,0.2518462869524956,0.21943157619824127
Direct_With_MFDFA_Ridge,0.00043003969368190235,0.020737398430900205,0.0119277661086711,0.2674105558148603,0.2783960687518673
Direct_With_MFDFA_LSTM,0.000491268823289645,0.02216458488872835,0.012520503934976973,0.2686580660635856,0.17565397010147932
Direct_With_MFDFA_BI-LSTM,0.0004752194158880303,0.02179952788222787,0.012469045332402708,0.2712567244918828,0.2025847758976873
Direct_With_MFDFA_GRU,0.0005099600664507509,0.022582295420323216,0.0125053197899118,0.2652127940593118,0.1442901803324692
Direct_With_MFDFA_BI-GRU,0.0005012851552863429,0.0223893982787913,0.012853234186834178,0.2761906434602743,0.15884662731035093
Hybrid_Benchmark_No_MFDFA_Ridge,0.000410506202432295,0.020260952653621572,0.0109207239101435,0.22878166811019982,0.3111731455747895
Hybrid_Benchmark_No_MFDFA_LSTM,0.00042652669232824073,0.020652522662576618,0.01097252260881662,0.2204511340716766,0.2842908631732336
Hybrid_Benchmark_No_MFDFA_BI-LSTM,0.00042874152404282477,0.02070607456865798,0.01097389774728444,0.2204482925408001,0.2805743893319165
Hybrid_Benchmark_No_MFDFA_GRU,0.0004169957541943232,0.020420473897398247,0.010996595126024472,0.22568357052708712,0.30028371808165744
Hybrid_Benchmark_No_MFDFA_BI-GRU,0.00041339980270068696,0.020332235555902037,0.010930006178254924,0.22414186832473262,0.3063177023219702
