Scenario,Model,Params,RMSE,Rank
Benchmark,GARCH (Base),K=14,5.151235835854992,
Benchmark,Hybrid Bi-GRU,"{'dropout': 0.2, 'hidden_dim': 32, 'learning_rate': 0.001, 'num_layers': 2}",5.143702487176014,1.0
Benchmark,Hybrid Bi-GRU,"{'dropout': 0.2, 'hidden_dim': 128, 'learning_rate': 0.001, 'num_layers': 2}",5.14530498375383,2.0
Benchmark,Hybrid Bi-GRU,"{'dropout': 0.2, 'hidden_dim': 128, 'learning_rate': 0.001, 'num_layers': 1}",5.150370789716835,3.0
Benchmark,Hybrid Bi-LSTM,"{'dropout': 0.2, 'hidden_dim': 128, 'learning_rate': 0.001, 'num_layers': 2}",5.137439597831686,1.0
Benchmark,Hybrid Bi-LSTM,"{'dropout': 0.0, 'hidden_dim': 64, 'learning_rate': 0.001, 'num_layers': 2}",5.140265983712407,2.0
Benchmark,Hybrid Bi-LSTM,"{'dropout': 0.2, 'hidden_dim': 128, 'learning_rate': 0.001, 'num_layers': 1}",5.1419001275275695,3.0
Benchmark,Hybrid GRU,"{'dropout': 0.0, 'hidden_dim': 64, 'learning_rate': 0.001, 'num_layers': 1}",5.119919373049356,1.0
Benchmark,Hybrid GRU,"{'dropout': 0.0, 'hidden_dim': 128, 'learning_rate': 0.001, 'num_layers': 2}",5.135657914451179,2.0
Benchmark,Hybrid GRU,"{'dropout': 0.0, 'hidden_dim': 32, 'learning_rate': 0.001, 'num_layers': 2}",5.1373660608222425,3.0
Benchmark,Hybrid LSTM,"{'dropout': 0.0, 'hidden_dim': 64, 'learning_rate': 0.001, 'num_layers': 1}",5.13271562518375,1.0
Benchmark,Hybrid LSTM,"{'dropout': 0.0, 'hidden_dim': 32, 'learning_rate': 0.001, 'num_layers': 1}",5.1454692024547715,2.0
Benchmark,Hybrid LSTM,"{'dropout': 0.0, 'hidden_dim': 128, 'learning_rate': 0.001, 'num_layers': 1}",5.14609975564785,3.0
Benchmark,Hybrid Ridge,{'alpha': 10.0},4.896016070027672,1.0
Benchmark,Hybrid Ridge,{'alpha': 5.0},5.0166224120114205,2.0
Benchmark,Hybrid Ridge,{'alpha': 1.0},5.414411991407492,3.0
Delta_Alpha,GARCH (Base),K=14,5.12258854399934,
Delta_Alpha,Hybrid Bi-GRU,"{'dropout': 0.2, 'hidden_dim': 128, 'learning_rate': 0.001, 'num_layers': 2}",5.114190576902195,1.0
Delta_Alpha,Hybrid Bi-GRU,"{'dropout': 0.2, 'hidden_dim': 64, 'learning_rate': 0.001, 'num_layers': 2}",5.130432230006505,2.0
Delta_Alpha,Hybrid Bi-GRU,"{'dropout': 0.2, 'hidden_dim': 32, 'learning_rate': 0.001, 'num_layers': 2}",5.133170809761918,3.0
Delta_Alpha,Hybrid Bi-LSTM,"{'dropout': 0.2, 'hidden_dim': 64, 'learning_rate': 0.001, 'num_layers': 1}",5.115812450820324,1.0
Delta_Alpha,Hybrid Bi-LSTM,"{'dropout': 0.2, 'hidden_dim': 128, 'learning_rate': 0.001, 'num_layers': 2}",5.116824120356423,2.0
Delta_Alpha,Hybrid Bi-LSTM,"{'dropout': 0.2, 'hidden_dim': 64, 'learning_rate': 0.001, 'num_layers': 2}",5.117360336738466,3.0
Delta_Alpha,Hybrid GRU,"{'dropout': 0.2, 'hidden_dim': 32, 'learning_rate': 0.01, 'num_layers': 2}",5.137801013714529,1.0
Delta_Alpha,Hybrid GRU,"{'dropout': 0.2, 'hidden_dim': 128, 'learning_rate': 0.01, 'num_layers': 2}",5.139350137337164,2.0
Delta_Alpha,Hybrid GRU,"{'dropout': 0.2, 'hidden_dim': 64, 'learning_rate': 0.001, 'num_layers': 2}",5.143321754894545,3.0
