Model,MSE,RMSE,MAE,MAPE,R-Squared
"GARCH(1,1)",0.0007287464136194181,0.02699530354745836,0.013862315339573255,0.23986731415023793,0.016530276198064908
GARCH-MIDAS Only (Benchmark),18.058190888316222,4.249493015445045,3.409789670031191,87.73756208935451,-30189.577724325714
GARCH-MIDAS Only (Delta_H),18.056156321222012,4.2492536193103385,3.4094126452488607,87.72728441301943,-30186.17623431085
GARCH-MIDAS Only (Delta_Alpha),18.055293281615437,4.249152066191023,3.409132313724788,87.71446082219225,-30184.733361960978
Direct_No_MFDFA_Ridge,0.0006383973736620054,0.02526652674314389,0.013508447684752239,0.26413220511639907,0.13845958344689724
Direct_No_MFDFA_LSTM,0.0006543141499272806,0.025579565084795336,0.013310275629329644,0.24521916767336058,0.11697931642276016
Direct_No_MFDFA_BI-LSTM,0.0006774349547290556,0.02602758065454904,0.013604885857137625,0.25033643321434373,0.08577695152940068
Direct_No_MFDFA_GRU,0.000624040530023351,0.024980803230147564,0.01306035579347328,0.2452102016779766,0.15783466479769037
Direct_No_MFDFA_BI-GRU,0.0006197109891617331,0.024893995042213155,0.012941407488624124,0.24120637110798132,0.1636775372644197
Direct_With_MFDFA_Ridge,0.0008075295310883108,0.02841706408284133,0.016421191303148855,0.32137633927420617,-0.08979039904556108
Direct_With_MFDFA_LSTM,0.0006730944444354843,0.025944063761012544,0.013792794304522425,0.2605085149240069,0.0916346276425174
Direct_With_MFDFA_BI-LSTM,0.0006418976688911744,0.025335699494807212,0.013582174636313815,0.26044401135145245,0.13373580804585095
Direct_With_MFDFA_GRU,0.0006332105838518111,0.025163675881154788,0.013295487050662094,0.25268741732234384,0.14545934447037223
Direct_With_MFDFA_BI-GRU,0.0006300476868512224,0.025100750722861307,0.013491811091678504,0.2603906936712678,0.14972778872127945
Hybrid_Benchmark_No_MFDFA_Ridge,0.0020851557548045227,0.04566350572179629,0.022450425013735415,0.4430944008149748,-1.8080796264040706
Hybrid_Benchmark_No_MFDFA_LSTM,0.0009858231488923288,0.03139782076661259,0.018145812875131798,0.36819732315847414,-0.32760821020853315
Hybrid_Benchmark_No_MFDFA_BI-LSTM,0.000998233671556117,0.03159483615333552,0.018174811737474594,0.36760583505174965,-0.3443214632904241
Hybrid_Benchmark_No_MFDFA_GRU,0.0009949009161304742,0.031542049967154547,0.018016697848192792,0.3641664150327158,-0.33983324096507905
Hybrid_Benchmark_No_MFDFA_BI-GRU,0.0010085914375991675,0.03175832863359102,0.017870583157893645,0.35838177031661544,-0.3582702686655299
Hybrid_Benchmark_With_MFDFA_Ridge,0.0030054699235590033,0.05482216635229771,0.026963982790030747,0.534204305377363,-3.0474668813924763
Hybrid_Benchmark_With_MFDFA_LSTM,0.0009276718191091568,0.030457705414380067,0.0176602784209191,0.3576194082191844,-0.249295804031596
Hybrid_Benchmark_With_MFDFA_BI-LSTM,0.000931337687263254,0.03051782572961668,0.017838602454154313,0.3638909817697117,-0.25423262932768464
Hybrid_Benchmark_With_MFDFA_GRU,0.0009187499328058556,0.030310888024039407,0.01772868184456149,0.35752488979533154,-0.2372806981577702
Hybrid_Benchmark_With_MFDFA_BI-GRU,0.0009607817186459908,0.030996479133056237,0.017917026450628166,0.36180370516414834,-0.2938849116353994
Hybrid_Delta_H_No_MFDFA_Ridge,0.0020853248082172075,0.045665356762180316,0.022450251451234877,0.44308723670210665,-1.808307290665045
Hybrid_Delta_H_No_MFDFA_LSTM,0.000977308319965657,0.031261930841930685,0.018100825669045063,0.36871972018966565,-0.31614128857631907
Hybrid_Delta_H_No_MFDFA_BI-LSTM,0.0010072000529996014,0.03173641525124729,0.018207038636226705,0.3675947844461809,-0.35639649077746016
Hybrid_Delta_H_No_MFDFA_GRU,0.001000675433234095,0.03163345433609954,0.01807448199916163,0.36364690777735587,-0.34760978417708466
Hybrid_Delta_H_No_MFDFA_BI-GRU,0.001008732842294829,0.0317605548171758,0.017939957845485407,0.36099371322401563,-0.3584606983943641
Hybrid_Delta_H_With_MFDFA_Ridge,0.003005116487608412,0.054818942780834545,0.02696385275554208,0.534198662116818,-3.046990909134861
Hybrid_Delta_H_With_MFDFA_LSTM,0.0009271142064382434,0.03044855015330358,0.017745693501984797,0.36010337751899135,-0.24854486694835476
Hybrid_Delta_H_With_MFDFA_BI-LSTM,0.0009596018203912919,0.03097744050742882,0.01811074949576754,0.36598220831125783,-0.2922959424456326
Hybrid_Delta_H_With_MFDFA_GRU,0.0009107969810977674,0.030179413200023746,0.01758449766978029,0.3558153853795585,-0.2265704566759048
Hybrid_Delta_H_With_MFDFA_BI-GRU,0.0009640403881502985,0.031048999793073826,0.01801495854797177,0.3620356077230894,-0.2982733624372862
Hybrid_Delta_Alpha_No_MFDFA_Ridge,0.002085377405641038,0.04566593265927061,0.022450959891565023,0.44310883315135124,-1.808378123625086
Hybrid_Delta_Alpha_No_MFDFA_LSTM,0.000980197894505466,0.031308112279495,0.018085509958295828,0.366896154333806,-0.3200326791237722
Hybrid_Delta_Alpha_No_MFDFA_BI-LSTM,0.0010133572423203763,0.031833272566928715,0.018310678400637163,0.3695787128657332,-0.36468837873246884
Hybrid_Delta_Alpha_No_MFDFA_GRU,0.00100025260558378,0.031626770394458235,0.018010571579307726,0.3631291076854365,-0.34704036210509104
Hybrid_Delta_Alpha_No_MFDFA_BI-GRU,0.0010066863818601985,0.031728321447252746,0.017821213280748226,0.35910780621347493,-0.3557047297625311
Hybrid_Delta_Alpha_With_MFDFA_Ridge,0.003005672785913981,0.05482401650658205,0.026962229560929557,0.5341414302198344,-3.047740076162059
Hybrid_Delta_Alpha_With_MFDFA_LSTM,0.0009429950244693373,0.030708224052675814,0.01783816217196953,0.3592028113433412,-0.26993156741952684
Hybrid_Delta_Alpha_With_MFDFA_BI-LSTM,0.0009286533300539977,0.03047381384162471,0.017595567366195216,0.35587375637939317,-0.2506176049958404
Hybrid_Delta_Alpha_With_MFDFA_GRU,0.0009088633792254829,0.03014736106569666,0.017551764285335163,0.3542667154823797,-0.22396647469008513
Hybrid_Delta_Alpha_With_MFDFA_BI-GRU,0.000986701739239117,0.03141180891383234,0.018082321490922024,0.3624091636229045,-0.3287914079850476
