--- Evaluation for Year: 2021 | Freq: 1 ---
Scenario | Model | Feature Set | RMSE | Note
--------------------------------------------------------------------------------
[1. Baseline] | Model: GARCH(1,1) (Untuned) | Feat: Daily Return | RMSE: 2.2175 | Note: Low Freq
[2. Baseline] | Model: GARCH(1,1) (Untuned) | Feat: 10m Return | RMSE: 2.5322 | Note: High Freq
[3. Baseline GM] | Model: GARCH-MIDAS (Benchmark) (Untuned) | Feat: 10m + None | RMSE: 2.3627 | Note: Macro
[3. Baseline GM] | Model: GARCH-MIDAS (Delta_H) (Untuned) | Feat: 10m + delta_H | RMSE: 2.3600 | Note: Macro
[3. Baseline GM] | Model: GARCH-MIDAS (Delta_Alpha) (Untuned) | Feat: 10m + delta_alpha | RMSE: 2.3600 | Note: Macro
[Direct AI (Daily)] | Model: LSTM (Untuned) | Feat: Daily Feat | RMSE: 2.3908 | Note: Low Freq AI
[Direct AI (Daily)] | Model: LSTM (Tuned) | Feat: Daily Feat | RMSE: 2.1354 | Note: Low Freq AI
[Direct AI (Daily)] | Model: BI-LSTM (Untuned) | Feat: Daily Feat | RMSE: 2.3118 | Note: Low Freq AI
[Direct AI (Daily)] | Model: BI-LSTM (Tuned) | Feat: Daily Feat | RMSE: 2.0485 | Note: Low Freq AI
[Direct AI (Daily)] | Model: GRU (Untuned) | Feat: Daily Feat | RMSE: 2.2059 | Note: Low Freq AI
[Direct AI (Daily)] | Model: GRU (Tuned) | Feat: Daily Feat | RMSE: 2.1681 | Note: Low Freq AI
[Direct AI (Daily)] | Model: BI-GRU (Untuned) | Feat: Daily Feat | RMSE: 2.1696 | Note: Low Freq AI
[Direct AI (Daily)] | Model: BI-GRU (Tuned) | Feat: Daily Feat | RMSE: 2.0756 | Note: Low Freq AI
[Direct AI (Daily)] | Model: Ridge (Untuned) | Feat: Daily Feat | RMSE: 2.1121 | Note: Low Freq AI
[Direct AI (Daily)] | Model: Ridge (Tuned) | Feat: Daily Feat | RMSE: 2.0723 | Note: Low Freq AI
[Direct AI (10m)] | Model: LSTM (Untuned) | Feat: No MF | RMSE: 1.9618 | Note: High Freq AI
[Direct AI (10m)] | Model: LSTM (Tuned) | Feat: No MF | RMSE: 1.9123 | Note: High Freq AI
[Direct AI (10m)] | Model: LSTM (Untuned) | Feat: Full (With MF) | RMSE: 1.6711 | Note: High Freq AI
[Direct AI (10m)] | Model: LSTM (Tuned) | Feat: Full (With MF) | RMSE: 1.7728 | Note: High Freq AI
[Direct AI (10m)] | Model: BI-LSTM (Untuned) | Feat: No MF | RMSE: 1.9816 | Note: High Freq AI
[Direct AI (10m)] | Model: BI-LSTM (Tuned) | Feat: No MF | RMSE: 2.0984 | Note: High Freq AI
[Direct AI (10m)] | Model: BI-LSTM (Untuned) | Feat: Full (With MF) | RMSE: 1.7230 | Note: High Freq AI
[Direct AI (10m)] | Model: BI-LSTM (Tuned) | Feat: Full (With MF) | RMSE: 1.3959 | Note: High Freq AI
[Direct AI (10m)] | Model: GRU (Untuned) | Feat: No MF | RMSE: 1.9746 | Note: High Freq AI
[Direct AI (10m)] | Model: GRU (Tuned) | Feat: No MF | RMSE: 2.0154 | Note: High Freq AI
[Direct AI (10m)] | Model: GRU (Untuned) | Feat: Full (With MF) | RMSE: 1.6727 | Note: High Freq AI
[Direct AI (10m)] | Model: GRU (Tuned) | Feat: Full (With MF) | RMSE: 1.6808 | Note: High Freq AI
[Direct AI (10m)] | Model: BI-GRU (Untuned) | Feat: No MF | RMSE: 1.9786 | Note: High Freq AI
[Direct AI (10m)] | Model: BI-GRU (Tuned) | Feat: No MF | RMSE: 2.3015 | Note: High Freq AI
[Direct AI (10m)] | Model: BI-GRU (Untuned) | Feat: Full (With MF) | RMSE: 1.7250 | Note: High Freq AI
[Direct AI (10m)] | Model: BI-GRU (Tuned) | Feat: Full (With MF) | RMSE: 1.3907 | Note: High Freq AI
[Direct AI (10m)] | Model: Ridge (Untuned) | Feat: No MF | RMSE: 1.9166 | Note: High Freq AI
[Direct AI (10m)] | Model: Ridge (Tuned) | Feat: No MF | RMSE: 1.9169 | Note: High Freq AI
[Direct AI (10m)] | Model: Ridge (Untuned) | Feat: Full (With MF) | RMSE: 1.9370 | Note: High Freq AI
[Direct AI (10m)] | Model: Ridge (Tuned) | Feat: Full (With MF) | RMSE: 1.9355 | Note: High Freq AI
[Hybrid Benchmark] | Model: LSTM (Untuned) | Feat: No MF | RMSE: 2.7779 | Note: Correction AI
[Hybrid Benchmark] | Model: LSTM (Tuned) | Feat: No MF | RMSE: 2.6076 | Note: Correction AI
[Hybrid Benchmark] | Model: LSTM (Untuned) | Feat: Full (With MF) | RMSE: 1.9617 | Note: Correction AI
[Hybrid Benchmark] | Model: LSTM (Tuned) | Feat: Full (With MF) | RMSE: 1.7206 | Note: Correction AI
[Hybrid Benchmark] | Model: BI-LSTM (Untuned) | Feat: No MF | RMSE: 2.7766 | Note: Correction AI
[Hybrid Benchmark] | Model: BI-LSTM (Tuned) | Feat: No MF | RMSE: 2.6265 | Note: Correction AI
[Hybrid Benchmark] | Model: BI-LSTM (Untuned) | Feat: Full (With MF) | RMSE: 1.7095 | Note: Correction AI
[Hybrid Benchmark] | Model: BI-LSTM (Tuned) | Feat: Full (With MF) | RMSE: 1.5951 | Note: Correction AI
[Hybrid Benchmark] | Model: GRU (Untuned) | Feat: No MF | RMSE: 2.5958 | Note: Correction AI
[Hybrid Benchmark] | Model: GRU (Tuned) | Feat: No MF | RMSE: 2.7955 | Note: Correction AI
[Hybrid Benchmark] | Model: GRU (Untuned) | Feat: Full (With MF) | RMSE: 1.7100 | Note: Correction AI
[Hybrid Benchmark] | Model: GRU (Tuned) | Feat: Full (With MF) | RMSE: 1.4892 | Note: Correction AI
[Hybrid Benchmark] | Model: BI-GRU (Untuned) | Feat: No MF | RMSE: 2.6259 | Note: Correction AI
[Hybrid Benchmark] | Model: BI-GRU (Tuned) | Feat: No MF | RMSE: 2.4814 | Note: Correction AI
[Hybrid Benchmark] | Model: BI-GRU (Untuned) | Feat: Full (With MF) | RMSE: 1.5292 | Note: Correction AI
[Hybrid Benchmark] | Model: BI-GRU (Tuned) | Feat: Full (With MF) | RMSE: 1.3726 | Note: Correction AI
[Hybrid Benchmark] | Model: Ridge (Untuned) | Feat: No MF | RMSE: 2.3380 | Note: Correction AI
[Hybrid Benchmark] | Model: Ridge (Tuned) | Feat: No MF | RMSE: 2.3374 | Note: Correction AI
[Hybrid Benchmark] | Model: Ridge (Untuned) | Feat: Full (With MF) | RMSE: 3.4888 | Note: Correction AI
[Hybrid Benchmark] | Model: Ridge (Tuned) | Feat: Full (With MF) | RMSE: 2.8730 | Note: Correction AI
[Hybrid Delta_H] | Model: LSTM (Untuned) | Feat: No MF | RMSE: 2.6451 | Note: Correction AI
[Hybrid Delta_H] | Model: LSTM (Tuned) | Feat: No MF | RMSE: 2.6785 | Note: Correction AI
[Hybrid Delta_H] | Model: LSTM (Untuned) | Feat: Full (With MF) | RMSE: 1.9143 | Note: Correction AI
[Hybrid Delta_H] | Model: LSTM (Tuned) | Feat: Full (With MF) | RMSE: 1.6539 | Note: Correction AI
[Hybrid Delta_H] | Model: BI-LSTM (Untuned) | Feat: No MF | RMSE: 2.7474 | Note: Correction AI
[Hybrid Delta_H] | Model: BI-LSTM (Tuned) | Feat: No MF | RMSE: 2.5841 | Note: Correction AI
[Hybrid Delta_H] | Model: BI-LSTM (Untuned) | Feat: Full (With MF) | RMSE: 1.6160 | Note: Correction AI
[Hybrid Delta_H] | Model: BI-LSTM (Tuned) | Feat: Full (With MF) | RMSE: 1.4339 | Note: Correction AI
[Hybrid Delta_H] | Model: GRU (Untuned) | Feat: No MF | RMSE: 2.6739 | Note: Correction AI
[Hybrid Delta_H] | Model: GRU (Tuned) | Feat: No MF | RMSE: 2.4160 | Note: Correction AI
[Hybrid Delta_H] | Model: GRU (Untuned) | Feat: Full (With MF) | RMSE: 1.6174 | Note: Correction AI
[Hybrid Delta_H] | Model: GRU (Tuned) | Feat: Full (With MF) | RMSE: 1.6303 | Note: Correction AI
[Hybrid Delta_H] | Model: BI-GRU (Untuned) | Feat: No MF | RMSE: 2.7395 | Note: Correction AI
[Hybrid Delta_H] | Model: BI-GRU (Tuned) | Feat: No MF | RMSE: 2.8903 | Note: Correction AI
[Hybrid Delta_H] | Model: BI-GRU (Untuned) | Feat: Full (With MF) | RMSE: 1.5246 | Note: Correction AI
[Hybrid Delta_H] | Model: BI-GRU (Tuned) | Feat: Full (With MF) | RMSE: 1.6133 | Note: Correction AI
[Hybrid Delta_H] | Model: Ridge (Untuned) | Feat: No MF | RMSE: 2.3371 | Note: Correction AI
[Hybrid Delta_H] | Model: Ridge (Tuned) | Feat: No MF | RMSE: 2.3365 | Note: Correction AI
[Hybrid Delta_H] | Model: Ridge (Untuned) | Feat: Full (With MF) | RMSE: 3.4832 | Note: Correction AI
[Hybrid Delta_H] | Model: Ridge (Tuned) | Feat: Full (With MF) | RMSE: 2.8780 | Note: Correction AI
[Hybrid Delta_Alpha] | Model: LSTM (Untuned) | Feat: No MF | RMSE: 2.6320 | Note: Correction AI
[Hybrid Delta_Alpha] | Model: LSTM (Tuned) | Feat: No MF | RMSE: 2.8790 | Note: Correction AI
[Hybrid Delta_Alpha] | Model: LSTM (Untuned) | Feat: Full (With MF) | RMSE: 1.9391 | Note: Correction AI
[Hybrid Delta_Alpha] | Model: LSTM (Tuned) | Feat: Full (With MF) | RMSE: 1.5356 | Note: Correction AI
[Hybrid Delta_Alpha] | Model: BI-LSTM (Untuned) | Feat: No MF | RMSE: 2.7534 | Note: Correction AI
[Hybrid Delta_Alpha] | Model: BI-LSTM (Tuned) | Feat: No MF | RMSE: 2.5701 | Note: Correction AI
[Hybrid Delta_Alpha] | Model: BI-LSTM (Untuned) | Feat: Full (With MF) | RMSE: 1.6277 | Note: Correction AI
[Hybrid Delta_Alpha] | Model: BI-LSTM (Tuned) | Feat: Full (With MF) | RMSE: 1.5083 | Note: Correction AI
[Hybrid Delta_Alpha] | Model: GRU (Untuned) | Feat: No MF | RMSE: 2.6863 | Note: Correction AI
[Hybrid Delta_Alpha] | Model: GRU (Tuned) | Feat: No MF | RMSE: 2.4918 | Note: Correction AI
[Hybrid Delta_Alpha] | Model: GRU (Untuned) | Feat: Full (With MF) | RMSE: 1.6860 | Note: Correction AI
[Hybrid Delta_Alpha] | Model: GRU (Tuned) | Feat: Full (With MF) | RMSE: 1.6206 | Note: Correction AI
[Hybrid Delta_Alpha] | Model: BI-GRU (Untuned) | Feat: No MF | RMSE: 2.6842 | Note: Correction AI
[Hybrid Delta_Alpha] | Model: BI-GRU (Tuned) | Feat: No MF | RMSE: 2.7078 | Note: Correction AI
[Hybrid Delta_Alpha] | Model: BI-GRU (Untuned) | Feat: Full (With MF) | RMSE: 1.4798 | Note: Correction AI
[Hybrid Delta_Alpha] | Model: BI-GRU (Tuned) | Feat: Full (With MF) | RMSE: 1.3394 | Note: Correction AI
[Hybrid Delta_Alpha] | Model: Ridge (Untuned) | Feat: No MF | RMSE: 2.3369 | Note: Correction AI
[Hybrid Delta_Alpha] | Model: Ridge (Tuned) | Feat: No MF | RMSE: 2.3363 | Note: Correction AI
[Hybrid Delta_Alpha] | Model: Ridge (Untuned) | Feat: Full (With MF) | RMSE: 3.4835 | Note: Correction AI
[Hybrid Delta_Alpha] | Model: Ridge (Tuned) | Feat: Full (With MF) | RMSE: 2.8748 | Note: Correction AI
