Model,MSE,RMSE,MAE,MAPE,R-Squared
Direct_No_MFDFA_Ridge,0.0006383973736620054,0.02526652674314389,0.013508447684752239,0.26413220511639907,0.13845958344689724
Direct_No_MFDFA_LSTM,0.0006958244484267489,0.026378484574113594,0.013897258169085687,0.25618944843130775,0.060959662621035915
Direct_No_MFDFA_BI-LSTM,0.0006380412914671961,0.02525947923982591,0.013174449038141996,0.24526744392020067,0.13894012928730903
Direct_No_MFDFA_GRU,0.0006240182846831611,0.02498035797748225,0.012977841783194695,0.24235563033341992,0.1578646856913286
Direct_No_MFDFA_BI-GRU,0.0006209150646611013,0.0249181673616079,0.012970159056959325,0.24196815232253951,0.1620525936946543
Direct_With_MFDFA_Ridge,0.0008075295310883108,0.02841706408284133,0.016421191303148855,0.32137633927420617,-0.08979039904556108
Direct_With_MFDFA_LSTM,0.0006786000342553304,0.02604995267280404,0.013961910800031509,0.2688929244351432,0.08420463444008308
Direct_With_MFDFA_BI-LSTM,0.0006629194544030265,0.025747222265771242,0.013565350206211082,0.25796399881297394,0.10536614583580595
Direct_With_MFDFA_GRU,0.0006222725223831267,0.024945390804377604,0.013134352631086066,0.25004852519288534,0.1602206552507689
Direct_With_MFDFA_BI-GRU,0.0006370316795031852,0.025239486514253517,0.013595998469922379,0.2616644773913679,0.14030263726105197
Hybrid_Benchmark_No_MFDFA_Ridge,0.0009340012619497996,0.03056143422599469,0.017337606166596284,0.33665530533310417,-0.2578196658324927
Hybrid_Benchmark_No_MFDFA_LSTM,0.0008034725643800834,0.028345591621627576,0.015942177038525452,0.30707472684257525,-0.08203664556552948
Hybrid_Benchmark_No_MFDFA_BI-LSTM,0.0008139609293518192,0.028530000514402715,0.016086077277801304,0.30931481890863116,-0.09616132854115778
Hybrid_Benchmark_No_MFDFA_GRU,0.0008227652826865863,0.02868388541823765,0.01611185481753346,0.30777524250023197,-0.10801815274532389
Hybrid_Benchmark_No_MFDFA_BI-GRU,0.0008403921722473083,0.028989518316924624,0.016231540739895675,0.3090245239517856,-0.13175628805645712
Hybrid_Benchmark_With_MFDFA_Ridge,0.0013016933941382186,0.036078988263783376,0.019891451613436358,0.3796756103833164,-0.7529907257441137
Hybrid_Benchmark_With_MFDFA_LSTM,0.0008217747960797409,0.028666614660258383,0.016647859186735833,0.32046878377995214,-0.1066842642554593
Hybrid_Benchmark_With_MFDFA_BI-LSTM,0.0007935702304612335,0.02817037859989165,0.016174766465449502,0.3112264759136189,-0.06870117071320636
Hybrid_Benchmark_With_MFDFA_GRU,0.0008184440366351572,0.02860846092741022,0.01666641224296569,0.32246974778474696,-0.10219872991816215
Hybrid_Benchmark_With_MFDFA_BI-GRU,0.0008155235425385888,0.028557372822768358,0.016520318813420556,0.31958226949454266,-0.09826569999811374
Hybrid_Delta_H_No_MFDFA_Ridge,0.0009343638155245728,0.03056736520416133,0.017351206323979688,0.3371467907114331,-0.2583079167962179
Hybrid_Delta_H_No_MFDFA_LSTM,0.0008137136902519066,0.028525667218347525,0.016029009052038204,0.30820486219450394,-0.09582837160126734
