Model,MSE,RMSE,MAE,MAPE,R-Squared
Direct_No_MFDFA_Ridge,0.0004301450278995248,0.020739937991699126,0.012046699017974768,0.2765125240441771,0.2782193185898518
Direct_No_MFDFA_LSTM,0.0004716603860666494,0.02171774357677725,0.011964877416062622,0.25282482354475294,0.20855680580160008
Direct_No_MFDFA_BI-LSTM,0.00047041127822613344,0.02168896673947686,0.012040989311404536,0.2562364257404377,0.21065280098881634
Direct_No_MFDFA_GRU,0.00047477382226426753,0.021789305226745243,0.012044059387980675,0.25350500784151075,0.20333247922686926
Direct_No_MFDFA_BI-GRU,0.000491326730726651,0.022165891155707027,0.012280652657840205,0.2561780932946027,0.17555680178235467
Direct_With_MFDFA_Ridge,0.00043003969368190235,0.020737398430900205,0.0119277661086711,0.2674105558148603,0.2783960687518673
Direct_With_MFDFA_LSTM,0.00048509262439372266,0.022024818373682965,0.012475197214978685,0.26987338007454353,0.18601759343427016
Direct_With_MFDFA_BI-LSTM,0.0004892634305978568,0.022119299957228684,0.01245983214777401,0.2757268917317232,0.17901900656520886
Direct_With_MFDFA_GRU,0.0004975796868593121,0.022306494275419256,0.012369782638753542,0.2653799501380288,0.16506438028372894
Direct_With_MFDFA_BI-GRU,0.00047059401234235914,0.021693178935839698,0.012566112449354523,0.27581220404253914,0.21034617427835456
Hybrid_Benchmark_No_MFDFA_Ridge,0.0004850689324603899,0.022024280520834043,0.01211300409409338,0.2577174167437168,0.18605734835104415
Hybrid_Benchmark_No_MFDFA_LSTM,0.0005256963540370914,0.02292806913015336,0.012435610467283191,0.2632873376016357,0.11788478763875665
Hybrid_Benchmark_No_MFDFA_BI-LSTM,0.0005140337204839252,0.02267231175870527,0.012494002239487703,0.26375604732843644,0.13745461420201366
Hybrid_Benchmark_No_MFDFA_GRU,0.0005403459700753981,0.023245342976075833,0.012463825854334377,0.2649904684132969,0.09330282304379234
Hybrid_Benchmark_No_MFDFA_BI-GRU,0.0005000984954679781,0.022362882092162854,0.012230039672491418,0.2576591856762734,0.1608378351048101
Hybrid_Benchmark_With_MFDFA_Ridge,0.0004889086927949106,0.022111279763842494,0.01223076626509015,0.25731169060302855,0.17961425439216339
Hybrid_Benchmark_With_MFDFA_LSTM,0.0005464007678830669,0.02337521695905873,0.013032203654356887,0.2786592591766272,0.08314290998200347
Hybrid_Benchmark_With_MFDFA_BI-LSTM,0.0005326657351119705,0.023079552316108094,0.012815955047879309,0.27349887686412977,0.106190209543091
Hybrid_Benchmark_With_MFDFA_GRU,0.0005356092320739601,0.023143232965036672,0.012883713630889214,0.2746660278775066,0.10125103994876095
Hybrid_Benchmark_With_MFDFA_BI-GRU,0.0004999372225624228,0.022359275984754578,0.01291258187011763,0.2791189620643208,0.1611084500372506
Hybrid_Delta_H_No_MFDFA_Ridge,0.0004856403752726376,0.022037249721157073,0.012095611166137188,0.2574314725104661,0.18509847086633813
Hybrid_Delta_H_No_MFDFA_LSTM,0.0005286549106578983,0.022992496833921676,0.012469485789760539,0.262619592424509,0.1129203480305988
Hybrid_Delta_H_No_MFDFA_BI-LSTM,0.0005167329609799062,0.02273176106200103,0.012389292246253746,0.2623399493177634,0.13292530543842596
Hybrid_Delta_H_No_MFDFA_GRU,0.0005345959108690104,0.023121330214090418,0.012598700160147023,0.26620810348391827,0.10295138662803671
Hybrid_Delta_H_No_MFDFA_BI-GRU,0.0004931733406088091,0.022207506402313816,0.012390960588047034,0.2607051550422393,0.17245820188559102
Hybrid_Delta_H_With_MFDFA_Ridge,0.0004884808620883099,0.022101603156520343,0.012195807637352118,0.25648949407025046,0.1803321516568286
Hybrid_Delta_H_With_MFDFA_LSTM,0.0005345685724547305,0.02312073901186401,0.012842814045201122,0.2738566170950499,0.10299726031715983
Hybrid_Delta_H_With_MFDFA_BI-LSTM,0.0005305820156320803,0.02303436596983039,0.012927964481366652,0.2737028743299419,0.10968667787008057
