Model,MSE,RMSE,MAE,MAPE,R-Squared
Direct_No_MFDFA_Ridge,0.0004301450278995248,0.020739937991699126,0.012046699017974768,0.2765125240441771,0.2782193185898518
Direct_No_MFDFA_LSTM,0.000473613741761997,0.02176266853494757,0.011997661279185452,0.2515009206501348,0.2052790870942396
Direct_No_MFDFA_BI-LSTM,0.00047978589893926096,0.021904015589367647,0.012083521229023309,0.25555438458625257,0.1949222457402191
Direct_No_MFDFA_GRU,0.0004808456352203608,0.02192819270301045,0.012063947364263606,0.2551095651517632,0.19314401485185473
Direct_No_MFDFA_BI-GRU,0.00047318310695271764,0.02175277239693179,0.011973433577957283,0.25246068134184907,0.2060016896257587
Direct_With_MFDFA_Ridge,0.00043003969368190235,0.020737398430900205,0.0119277661086711,0.2674105558148603,0.2783960687518673
Direct_With_MFDFA_LSTM,0.0004818633561341095,0.021951386200741618,0.012354773560810288,0.268700330280304,0.19143628548857927
Direct_With_MFDFA_BI-LSTM,0.00047079318462094874,0.021697769116223647,0.012427927871763887,0.2715296215643672,0.21001196443368797
Direct_With_MFDFA_GRU,0.0005026028522641017,0.022418805772478196,0.012549993835394726,0.2709792016499229,0.15663553997745006
Direct_With_MFDFA_BI-GRU,0.00047900262104079764,0.021886128507362778,0.012450274105955153,0.26880320597361157,0.19623658118202825
Hybrid_Benchmark_No_MFDFA_Ridge,0.0004850689324603899,0.022024280520834043,0.01211300409409338,0.2577174167437168,0.18605734835104415
Hybrid_Benchmark_No_MFDFA_LSTM,0.0005212528324018287,0.02283096214358538,0.01236329484655732,0.2613917904668778,0.1253409893050228
Hybrid_Benchmark_No_MFDFA_BI-LSTM,0.0004998448056656043,0.02235720925486015,0.012423066111844114,0.2624020519570275,0.16126352501529995
Hybrid_Benchmark_No_MFDFA_GRU,0.0005401410416273507,0.023240934611743796,0.012628024197355849,0.2673337820532558,0.09364669170500695
Hybrid_Benchmark_No_MFDFA_BI-GRU,0.0004899937601046296,0.022135802675860426,0.012597190243467792,0.2653802250742107,0.1777935181953293
Hybrid_Benchmark_With_MFDFA_Ridge,0.0004889086927949106,0.022111279763842494,0.01223076626509015,0.25731169060302855,0.17961425439216339
