Model,MSE,RMSE,MAE,MAPE,R-Squared
"GARCH(1,1)",0.0005308987786577765,0.023041240822876195,0.01308940933255415,0.2760044198965307,0.10733433469076581
GARCH-MIDAS Only (Benchmark),0.0004624089742980607,0.021503696758884524,0.012229015279742891,0.2664087338697546,0.22249469902657382
GARCH-MIDAS Only (Delta_H),0.00045884151290780914,0.021420586194308717,0.012175006970563167,0.26612166546574795,0.22849311232758973
GARCH-MIDAS Only (Delta_Alpha),0.0004597011330476671,0.021440642085713457,0.012195162543741355,0.26657608946372147,0.2270477268512856
Direct_No_MFDFA_Ridge,0.00042900211184088746,0.020712366157464662,0.01202221133942342,0.2760379862926837,0.27866578153804755
Direct_No_MFDFA_LSTM,0.0004810762284450588,0.021933449989572064,0.012236819835028761,0.2571088135731734,0.19110713982977978
Direct_No_MFDFA_BI-LSTM,0.0004752276340751473,0.02179971637602534,0.012287808940865324,0.2636192608107158,0.20094110365531392
Direct_No_MFDFA_GRU,0.000490694143938366,0.0221516171856225,0.012243179509767155,0.25495649830361083,0.17493535101077506
Direct_No_MFDFA_BI-GRU,0.00046748806546701333,0.021621472324220046,0.01195495595306353,0.2509344452251505,0.21395459594145816
Direct_With_MFDFA_Ridge,0.0004299434722879049,0.020735078304359136,0.012002485899008045,0.2709581222392413,0.2770829559910438
Direct_With_MFDFA_LSTM,0.0005120264519408518,0.022628001501256177,0.013193423985987648,0.28328383740088064,0.13906670771917773
Direct_With_MFDFA_BI-LSTM,0.0005127847141117604,0.022644750255009668,0.013617219534905016,0.30070083168101325,0.13779174791048465
Direct_With_MFDFA_GRU,0.0005347028231268415,0.023123642081792423,0.013148108559651206,0.27594556890490546,0.10093812504901645
Direct_With_MFDFA_BI-GRU,0.0005065592458441751,0.02250687108072055,0.012893069663675162,0.2746633160556105,0.1482593963518608
Hybrid_Benchmark_No_MFDFA_Ridge,0.0004079258042944954,0.020197173175830706,0.01088184685007219,0.22791316311309154,0.31410397965507486
Hybrid_Benchmark_No_MFDFA_LSTM,0.0004198757291882181,0.020490869410257295,0.01092183143943818,0.21956196289285984,0.2940110955037504
Hybrid_Benchmark_No_MFDFA_BI-LSTM,0.0004247613125048671,0.020609738292973714,0.011158563291143071,0.2260050738608893,0.28579636106264616
Hybrid_Benchmark_No_MFDFA_GRU,0.0004272552747331289,0.020670154201967845,0.01126157761790456,0.22834952140098827,0.28160295444495553
Hybrid_Benchmark_No_MFDFA_BI-GRU,0.0004182412189766174,0.02045094665233415,0.011077320102083843,0.22594413005712138,0.2967593993314257
Hybrid_Benchmark_With_MFDFA_Ridge,0.00041690203170254464,0.020418178951673055,0.011089764742027526,0.22987071988312166,0.2990111402414465
Hybrid_Benchmark_With_MFDFA_LSTM,0.00045317655870668656,0.02128794397556247,0.011731200589670641,0.24071880632669598,0.23801829926374418
Hybrid_Benchmark_With_MFDFA_BI-LSTM,0.00046136140305477584,0.021479325013947153,0.011725176170826322,0.2427376561323297,0.22425610989892486
Hybrid_Benchmark_With_MFDFA_GRU,0.0004472289861847277,0.021147789155954996,0.011650442347906175,0.24172091523859268,0.2480186872769019
Hybrid_Benchmark_With_MFDFA_BI-GRU,0.00045779932715457275,0.021396245632226526,0.012081230944694724,0.25404110865684787,0.2302454679105892
Hybrid_Delta_H_No_MFDFA_Ridge,0.0004068551742693621,0.020170651309993987,0.010859572859240607,0.22786202538604822,0.31590416210435823
Hybrid_Delta_H_No_MFDFA_LSTM,0.00042247048621587744,0.02055408684947783,0.010858885285065893,0.21752675955859554,0.28964821014494935
Hybrid_Delta_H_No_MFDFA_BI-LSTM,0.0004234732680275861,0.020578466124266552,0.011021531631331362,0.22139049587796636,0.28796210927394716
Hybrid_Delta_H_No_MFDFA_GRU,0.00043049510265128063,0.02074837590394199,0.011182240154172554,0.2261602149088555,0.2761554317526711
