Model,MSE,RMSE,MAE,MAPE,R-Squared
Direct_No_MFDFA_Ridge,0.00042900211184088746,0.020712366157464662,0.01202221133942342,0.2760379862926837,0.27866578153804755
Direct_No_MFDFA_LSTM,0.0004270877084308874,0.020666100465034216,0.011750802423557348,0.2601019196475519,0.2818847043579088
Direct_No_MFDFA_BI-LSTM,0.0004366498642321911,0.020896168649591988,0.011927936985251622,0.26115451636258563,0.26580667119358015
Direct_No_MFDFA_GRU,0.00042994981951031307,0.02073523135897724,0.011696472601243103,0.25466220327085204,0.27707228362233316
Direct_No_MFDFA_BI-GRU,0.00044165631080216695,0.02101562063804367,0.011896688491778187,0.25598801520997,0.2573887144419722
Direct_With_MFDFA_Ridge,0.0004299434722879049,0.020735078304359136,0.012002485899008045,0.2709581222392413,0.2770829559910438
Direct_With_MFDFA_LSTM,0.0004688333467480268,0.021652559819754034,0.01274239623298267,0.2890448129812984,0.21169260842515603
Direct_With_MFDFA_BI-LSTM,0.00047248218701565544,0.021736655377855522,0.013002878792085896,0.2943667987043098,0.2055573627699585
Direct_With_MFDFA_GRU,0.0004864450559515229,0.022055499449151517,0.013157471797716216,0.30044754244289185,0.18207986726738112
Direct_With_MFDFA_BI-GRU,0.00048337356935047627,0.021985758330120803,0.013383987998047511,0.3061090677919379,0.18724433691853304
Hybrid_Benchmark_No_MFDFA_Ridge,0.0006197031911389518,0.024893838417145552,0.010848659881417078,0.22358105402880105,-0.041983488473796404
Hybrid_Benchmark_No_MFDFA_LSTM,0.0004886404630309741,0.022105213480782628,0.010956597138027832,0.2262103367166099,0.17838845828324756
Hybrid_Benchmark_No_MFDFA_BI-LSTM,0.000535708371968388,0.023145374742448824,0.011136916391819856,0.22901332913891095,0.09924737162910957
Hybrid_Benchmark_No_MFDFA_GRU,0.00047181675866647053,0.021721343390004002,0.011395349883018218,0.2365954632774025,0.20667622961222643
Hybrid_Benchmark_No_MFDFA_BI-GRU,0.0004308366546198996,0.02075660508416296,0.01114317431690512,0.23205472157856086,0.27558113825725983
Hybrid_Benchmark_With_MFDFA_Ridge,0.0006360223784797197,0.02521948410415486,0.01107484538556006,0.2252636705850559,-0.06942295303930646
Hybrid_Benchmark_With_MFDFA_LSTM,0.0004925283172210812,0.02219297900735909,0.011710634879462646,0.2426091710308359,0.1718513290097321
Hybrid_Benchmark_With_MFDFA_BI-LSTM,0.0004904152972039291,0.022145322242043106,0.011925362641815325,0.25183674983005994,0.17540421045389654
Hybrid_Benchmark_With_MFDFA_GRU,0.0005381826098182156,0.023198763109662023,0.012088907227025563,0.25512154753167,0.09508713004420033
Hybrid_Benchmark_With_MFDFA_BI-GRU,0.0005450355414933176,0.023345996262599665,0.012710102504188945,0.26938968012237846,0.08356444990441991
Hybrid_Delta_H_No_MFDFA_Ridge,0.0006536100806442247,0.02556579904177111,0.010837060656788817,0.22354353174595618,-0.09899532819833623
Hybrid_Delta_H_No_MFDFA_LSTM,0.0004963122231453999,0.022278065965101186,0.010918074243418988,0.22523624438598946,0.16548898078972085
Hybrid_Delta_H_No_MFDFA_BI-LSTM,0.00045948489576759386,0.02143559879657188,0.011110913797834625,0.22977235718724426,0.22741131328855202
Hybrid_Delta_H_No_MFDFA_GRU,0.0005039090725221878,0.02244791911340977,0.011418030183048059,0.236785805669283,0.15271545996842728
Hybrid_Delta_H_No_MFDFA_BI-GRU,0.00042410194871999094,0.020593735666944717,0.011322056210456982,0.2367591993368081,0.2869050308041653
Hybrid_Delta_H_With_MFDFA_Ridge,0.0006638856464766359,0.02576597846922635,0.011030267616324222,0.22427610442618995,-0.11627290573092841
Hybrid_Delta_H_With_MFDFA_LSTM,0.00048119710980134,0.02193620545585175,0.01162108121126853,0.2428163458868925,0.19090388708054373
Hybrid_Delta_H_With_MFDFA_BI-LSTM,0.0005432971918170335,0.02330873638396199,0.01180158385592005,0.2453676152540723,0.08648735184486778
Hybrid_Delta_H_With_MFDFA_GRU,0.00047981752643569945,0.021904737534051838,0.011853200985311015,0.2512082212195292,0.19322355092692245
Hybrid_Delta_H_With_MFDFA_BI-GRU,0.0006234482839480957,0.024968946392431052,0.012630123839930738,0.26626431213285384,-0.04828057541110553
Hybrid_Delta_Alpha_No_MFDFA_Ridge,0.0006336807068873521,0.025173015450822577,0.010831467576128611,0.22359957453013876,-0.06548561147069076
Hybrid_Delta_Alpha_No_MFDFA_LSTM,0.0004803470766782921,0.02191682177411433,0.010903738720668877,0.22518655467866042,0.19233315272179996
Hybrid_Delta_Alpha_No_MFDFA_BI-LSTM,0.0004386514345955523,0.020944007128425837,0.011019421511909475,0.22753702583807406,0.26244118381274595
Hybrid_Delta_Alpha_No_MFDFA_GRU,0.0004651106825339159,0.021566424889951415,0.011291941082245578,0.234724318817184,0.2179519833964334
Hybrid_Delta_Alpha_No_MFDFA_BI-GRU,0.00043812486638165286,0.020931432497123863,0.011415646546542504,0.238069730187955,0.2633265679648429
Hybrid_Delta_Alpha_With_MFDFA_Ridge,0.0006449432729536138,0.025395733361208806,0.011030026575543169,0.2244459647881358,-0.08442275435892022
Hybrid_Delta_Alpha_With_MFDFA_LSTM,0.0004911786712776302,0.022162551100395236,0.011879158240637894,0.250469907147278,0.1741206553718846
Hybrid_Delta_Alpha_With_MFDFA_BI-LSTM,0.0004580635111326686,0.021402418347763148,0.011590121963086664,0.24398657441746247,0.22980126277007784
Hybrid_Delta_Alpha_With_MFDFA_GRU,0.0005291910886386009,0.023004153725764417,0.012132525748906418,0.2558540515357094,0.11020568476424542
Hybrid_Delta_Alpha_With_MFDFA_BI-GRU,0.0005596173442668646,0.023656232672741122,0.01276736918512085,0.27018896481481935,0.059046264522330194
