Model,MSE,RMSE,MAE,MAPE,R-Squared
Direct_No_MFDFA_Ridge,0.00042900211184088746,0.020712366157464662,0.01202221133942342,0.2760379862926837,0.27866578153804755
Direct_No_MFDFA_LSTM,0.0004719997053963255,0.021725554202282747,0.012646201354899219,0.2794252866792669,0.20636861868734357
Direct_No_MFDFA_BI-LSTM,0.0004752588761609372,0.02180043293517212,0.013132804030099893,0.2910381922297057,0.20088857247909275
Direct_No_MFDFA_GRU,0.0004742456289092586,0.021777181381190235,0.012484339455063415,0.269435653753111,0.2025922701864583
Direct_No_MFDFA_BI-GRU,0.0004620056925753308,0.021494317681083314,0.012481392084847727,0.26921249747990256,0.2231727863791909
Direct_With_MFDFA_Ridge,0.0004299434722879049,0.020735078304359136,0.012002485899008045,0.2709581222392413,0.2770829559910438
Direct_With_MFDFA_LSTM,0.0005268264162471794,0.022952699541604674,0.013658412679756234,0.3064736359156558,0.11418170041616205
Direct_With_MFDFA_BI-LSTM,0.0005312680350045714,0.02304925237409169,0.013669847845063443,0.30323589087972713,0.1067134584037368
Direct_With_MFDFA_GRU,0.0005290350402542861,0.023000761732044572,0.013699914399065432,0.29989708601569637,0.11046806817970012
Direct_With_MFDFA_BI-GRU,0.0005152674185037338,0.022699502604765016,0.013492661075533005,0.29850761347287935,0.1336172704829226
Hybrid_Benchmark_No_MFDFA_Ridge,0.0006197031911389522,0.02489383841714556,0.01084865988141708,0.22358105402880105,-0.04198348847379707
Hybrid_Benchmark_No_MFDFA_LSTM,0.00043213196822412353,0.02078778411048478,0.011367348806227123,0.23281435028585012,0.2734031675653288
Hybrid_Benchmark_No_MFDFA_BI-LSTM,0.0004240122822344326,0.020591558518830783,0.011177689555325856,0.22990789163040293,0.2870557981372326
Hybrid_Benchmark_No_MFDFA_GRU,0.00044291779058588937,0.02104561214566802,0.011618781200247941,0.24012246180249436,0.255267632729828
Hybrid_Benchmark_No_MFDFA_BI-GRU,0.0004435026584943542,0.021059502807387314,0.011877682719118085,0.24914435834601947,0.25428422210313995
Hybrid_Benchmark_With_MFDFA_Ridge,0.0006360223784797195,0.02521948410415486,0.011074845385560061,0.2252636705850559,-0.06942295303930623
Hybrid_Benchmark_With_MFDFA_LSTM,0.00048274873462916313,0.021971543747064365,0.012148249961571883,0.25407888385941285,0.18829494868226593
Hybrid_Benchmark_With_MFDFA_BI-LSTM,0.0004819599823655115,0.02195358700453098,0.01232189096691725,0.25645742917649794,0.1896211752484238
Hybrid_Benchmark_With_MFDFA_GRU,0.00047244499370181043,0.021735799817393663,0.012346042446893121,0.2617333818025566,0.205619900480692
Hybrid_Benchmark_With_MFDFA_BI-GRU,0.0005085166660100832,0.022550314100031582,0.012756161273015883,0.2683131890608547,0.1449681441491194
Hybrid_Delta_H_No_MFDFA_Ridge,0.0006536100806442248,0.025565799041771115,0.010837060656788817,0.22354353174595615,-0.09899532819833645
Hybrid_Delta_H_No_MFDFA_LSTM,0.0004216758482621263,0.02053474733864837,0.01112545071472783,0.22943733262865276,0.2909843330485633
Hybrid_Delta_H_No_MFDFA_BI-LSTM,0.0004249584415607297,0.020614520163242455,0.011143712928914917,0.22837251015268473,0.2854649036419902
Hybrid_Delta_H_No_MFDFA_GRU,0.0004351711479792949,0.0208607561698826,0.011516402489860423,0.23776368133864925,0.26829301940299277
Hybrid_Delta_H_No_MFDFA_BI-GRU,0.0004450877632078171,0.021097103194699908,0.011945787567270308,0.2511935865860301,0.25161898983945774
Hybrid_Delta_H_With_MFDFA_Ridge,0.0006638856464766371,0.025765978469226375,0.011030267616324222,0.22427610442618995,-0.11627290573093063
Hybrid_Delta_H_With_MFDFA_LSTM,0.00046732881913367916,0.021617789413667605,0.011925238919189009,0.24736967651951983,0.21422235646344168
Hybrid_Delta_H_With_MFDFA_BI-LSTM,0.0004797789175092709,0.021903856224630196,0.012235233623468624,0.2540620636969157,0.1932884688818749
Hybrid_Delta_H_With_MFDFA_GRU,0.0004802290460177048,0.021914128913048423,0.012225531948782594,0.25764472742935945,0.1925316122443974
Hybrid_Delta_H_With_MFDFA_BI-GRU,0.0004792076893424129,0.02189081289816376,0.012627144245677922,0.2705863180165809,0.19424894532693437
Hybrid_Delta_Alpha_No_MFDFA_Ridge,0.0006336807068873517,0.025173015450822567,0.01083146757612861,0.22359957453013876,-0.0654856114706901
Hybrid_Delta_Alpha_No_MFDFA_LSTM,0.00041889114681724647,0.02046683040476093,0.011197223161966804,0.23065353915039388,0.2956665954080018
Hybrid_Delta_Alpha_No_MFDFA_BI-LSTM,0.0004339270106222076,0.020830914781214186,0.011344050287618956,0.23248263331436916,0.2703849411520092
Hybrid_Delta_Alpha_No_MFDFA_GRU,0.00044295428069894625,0.02104647905705242,0.011528740573494853,0.238228078363851,0.25520627739740187
Hybrid_Delta_Alpha_No_MFDFA_BI-GRU,0.0004303498138439156,0.020744874399328515,0.011689021297953685,0.24572383999844497,0.27639972376294164
Hybrid_Delta_Alpha_With_MFDFA_Ridge,0.0006449432729536138,0.025395733361208806,0.011030026575543169,0.2244459647881358,-0.08442275435892022
Hybrid_Delta_Alpha_With_MFDFA_LSTM,0.0004679893069139915,0.021633060507334406,0.012049139062301885,0.2498444636719379,0.2131117968096189
Hybrid_Delta_Alpha_With_MFDFA_BI-LSTM,0.0004776869412081149,0.021856050448516882,0.012268236964362144,0.25499112699596127,0.1968059669281198
Hybrid_Delta_Alpha_With_MFDFA_GRU,0.00046136319872390317,0.02147936681384959,0.01219493684959546,0.2571541528356172,0.22425309061871423
Hybrid_Delta_Alpha_With_MFDFA_BI-GRU,0.0004882933608170837,0.02209736094688874,0.012715003205311859,0.26941686096782225,0.1789720840913085
