Model,MSE,RMSE,MAE,MAPE,R-Squared
"GARCH(1,1)",0.0005308987786577765,0.023041240822876195,0.01308940933255415,0.2760044198965307,0.10733433469076581
GARCH-MIDAS Only (Benchmark),0.0004624089742980607,0.021503696758884524,0.012229015279742891,0.2664087338697546,0.22249469902657382
GARCH-MIDAS Only (Delta_H),0.00045884151290780914,0.021420586194308717,0.012175006970563167,0.26612166546574795,0.22849311232758973
GARCH-MIDAS Only (Delta_Alpha),0.0004597011330476671,0.021440642085713457,0.012195162543741355,0.26657608946372147,0.2270477268512856
MoE_Hybrid_Benchmark_With_MFDFA_MoE_LSTM,5.667123402558524,2.3805720746405736,0.022896450195460917,0.3169171413391998,-9527.834282354654
MoE_Hybrid_Benchmark_With_MFDFA_MoE_BI-LSTM,1.5880084416444178,1.2601620695943907,0.017561427940345813,0.2783786508800289,-2669.1146603898487
MoE_Hybrid_Benchmark_With_MFDFA_MoE_GRU,0.9441723728022205,0.971685326019808,0.016477258829865168,0.2749109795492395,-1586.5535850071915
MoE_Hybrid_Benchmark_With_MFDFA_MoE_BI-GRU,0.6618929485620908,0.8135680356074044,0.015725432066763117,0.26701851707111174,-1111.9223366937479
MoE_Hybrid_Delta_H_With_MFDFA_MoE_LSTM,4.995413390082848,2.2350421450350435,0.021967416475143685,0.3066275773243529,-8398.405304014528
MoE_Hybrid_Delta_H_With_MFDFA_MoE_BI-LSTM,2.1699473064321366,1.4730741007947077,0.01843415232756989,0.2802843100625762,-3647.6003243018586
MoE_Hybrid_Delta_H_With_MFDFA_MoE_GRU,0.9342459030821316,0.9665639674031572,0.0165544873164441,0.27410606497513323,-1569.8629858702755
MoE_Hybrid_Delta_H_With_MFDFA_MoE_BI-GRU,0.7053159678846829,0.8398309162472425,0.015629439312854484,0.2635353182241302,-1184.9348204130295
MoE_Hybrid_Delta_Alpha_With_MFDFA_MoE_LSTM,4.502598257773768,2.12193267041482,0.021650511956436573,0.30790922595019743,-7569.774375404462
MoE_Hybrid_Delta_Alpha_With_MFDFA_MoE_BI-LSTM,1.9604667436285519,1.4001666842303282,0.018062335095973648,0.2783081415369454,-3295.374790016057
MoE_Hybrid_Delta_Alpha_With_MFDFA_MoE_GRU,0.9433137761661583,0.9712434175664504,0.01635690243712763,0.27116872135668635,-1585.1099204741886
MoE_Hybrid_Delta_Alpha_With_MFDFA_MoE_BI-GRU,0.6372920584504942,0.7983057424636842,0.015571936304199913,0.26522405263564003,-1070.557822738398
