Model,MSE,RMSE,MAE,MAPE,R-Squared
"GARCH(1,1)",0.0005308987786577765,0.023041240822876195,0.01308940933255415,0.2760044198965307,0.10733433469076581
GARCH-MIDAS Only (Benchmark),0.0004624089742980607,0.021503696758884524,0.012229015279742891,0.2664087338697546,0.22249469902657382
GARCH-MIDAS Only (Delta_H),0.00045884151290780914,0.021420586194308717,0.012175006970563167,0.26612166546574795,0.22849311232758973
GARCH-MIDAS Only (Delta_Alpha),0.0004597011330476671,0.021440642085713457,0.012195162543741355,0.26657608946372147,0.2270477268512856
MoE_Hybrid_Benchmark_With_MFDFA_MoE_LSTM,0.0004566838524996022,0.021370162669001894,0.011722711107154128,0.24260780687464686,0.2321210531728728
MoE_Hybrid_Benchmark_With_MFDFA_MoE_BI-LSTM,0.0004759957963208781,0.021817327891400406,0.012078676964326525,0.250927508253042,0.1996494976284846
MoE_Hybrid_Benchmark_With_MFDFA_MoE_GRU,0.0004865221327845646,0.02205724671813245,0.012039070713226126,0.24822021764108876,0.1819502684715032
MoE_Hybrid_Benchmark_With_MFDFA_MoE_BI-GRU,0.00046809293789376995,0.021635455573982488,0.011870948341382885,0.243795641952116,0.21293754924825803
MoE_Hybrid_Delta_H_With_MFDFA_MoE_LSTM,0.00048203427757630927,0.021955279036630557,0.01203583897129778,0.251492982742123,0.1894962535374647
MoE_Hybrid_Delta_H_With_MFDFA_MoE_BI-LSTM,0.00046550084753991454,0.021575468651686677,0.011884342504701998,0.24588283566965416,0.21729595079914488
MoE_Hybrid_Delta_H_With_MFDFA_MoE_GRU,0.00047825262332270706,0.021868987706858016,0.011858176721046523,0.2443523587076709,0.19585481574549213
MoE_Hybrid_Delta_H_With_MFDFA_MoE_BI-GRU,0.00045799819692889294,0.021400892433001317,0.011817101110964809,0.2447836692786706,0.2299110836050683
MoE_Hybrid_Delta_Alpha_With_MFDFA_MoE_LSTM,0.0004665653811537622,0.021600124563385326,0.011782521637391564,0.24415214772701874,0.2155060189988649
MoE_Hybrid_Delta_Alpha_With_MFDFA_MoE_BI-LSTM,0.00046764255960559395,0.021625044730718915,0.01182893933041766,0.2451231533407293,0.21369482587125554
MoE_Hybrid_Delta_Alpha_With_MFDFA_MoE_GRU,0.0004693629153953218,0.021664785145376397,0.011674333651757912,0.23903635508132226,0.21080217927393508
MoE_Hybrid_Delta_Alpha_With_MFDFA_MoE_BI-GRU,0.0004661337975272199,0.021590131947888135,0.011846837336413238,0.24372741423152774,0.21623169383672758
