Model_ID,Best_Params
Direct_No_MFDFA_Ridge,{'alpha': 7.303737169107649}
Direct_No_MFDFA_LSTM,"{'hidden_dim': 64, 'num_layers': 1, 'learning_rate': 0.0058878891804119305, 'dropout': 0.20231414189778424}"
Direct_No_MFDFA_BI-LSTM,"{'hidden_dim': 128, 'num_layers': 1, 'learning_rate': 0.004168070392031782, 'dropout': 0.043278396988213674}"
Direct_No_MFDFA_GRU,"{'hidden_dim': 64, 'num_layers': 1, 'learning_rate': 0.002468558761365183, 'dropout': 0.11959951035906874}"
Direct_No_MFDFA_BI-GRU,"{'hidden_dim': 128, 'num_layers': 1, 'learning_rate': 0.0004970753397484194, 'dropout': 0.34365457201205185}"
Direct_With_MFDFA_Ridge,{'alpha': 97.78592128332552}
Direct_With_MFDFA_LSTM,"{'hidden_dim': 128, 'num_layers': 1, 'learning_rate': 0.0017789182939760132, 'dropout': 0.49342218504341795}"
Direct_With_MFDFA_BI-LSTM,"{'hidden_dim': 64, 'num_layers': 1, 'learning_rate': 0.002975413891198834, 'dropout': 0.33255429903439043}"
Direct_With_MFDFA_GRU,"{'hidden_dim': 128, 'num_layers': 1, 'learning_rate': 0.0013063440181100572, 'dropout': 0.42178842604376404}"
Direct_With_MFDFA_BI-GRU,"{'hidden_dim': 128, 'num_layers': 1, 'learning_rate': 0.0017591353925644779, 'dropout': 0.19132423668528414}"
Hybrid_Benchmark_No_MFDFA_Ridge,{'alpha': 98.59680147054462}
Hybrid_Benchmark_No_MFDFA_LSTM,"{'hidden_dim': 128, 'num_layers': 1, 'learning_rate': 0.001426568941239357, 'dropout': 0.010292761967852532}"
Hybrid_Benchmark_No_MFDFA_BI-LSTM,"{'hidden_dim': 64, 'num_layers': 1, 'learning_rate': 0.006304603449716555, 'dropout': 0.09238115828604032}"
Hybrid_Benchmark_No_MFDFA_GRU,"{'hidden_dim': 64, 'num_layers': 1, 'learning_rate': 0.0005824245718330786, 'dropout': 0.05523387354866336}"
Hybrid_Benchmark_No_MFDFA_BI-GRU,"{'hidden_dim': 128, 'num_layers': 1, 'learning_rate': 0.0017591353925644779, 'dropout': 0.0}"
Hybrid_Benchmark_With_MFDFA_Ridge,{'alpha': 99.14746845796519}
Hybrid_Benchmark_With_MFDFA_LSTM,"{'hidden_dim': 32, 'num_layers': 2, 'learning_rate': 0.0001037857256986505, 'dropout': 0.2012690082670728}"
Hybrid_Benchmark_With_MFDFA_BI-LSTM,"{'hidden_dim': 128, 'num_layers': 2, 'learning_rate': 0.0046408216933897465, 'dropout': 0.30768969793155604}"
Hybrid_Benchmark_With_MFDFA_GRU,"{'hidden_dim': 128, 'num_layers': 1, 'learning_rate': 0.0005859566451596821, 'dropout': 0.4086406841946857}"
Hybrid_Benchmark_With_MFDFA_BI-GRU,"{'hidden_dim': 32, 'num_layers': 1, 'learning_rate': 0.00011148983638247606, 'dropout': 0.4985262517994053}"
Hybrid_Delta_H_No_MFDFA_Ridge,{'alpha': 99.14746845796519}
Hybrid_Delta_H_No_MFDFA_LSTM,"{'hidden_dim': 128, 'num_layers': 2, 'learning_rate': 0.0012691092983074742, 'dropout': 0.03959454654164757}"
Hybrid_Delta_H_No_MFDFA_BI-LSTM,"{'hidden_dim': 128, 'num_layers': 1, 'learning_rate': 0.0021112182627482583, 'dropout': 0.3618885015418633}"
Hybrid_Delta_H_No_MFDFA_GRU,"{'hidden_dim': 128, 'num_layers': 1, 'learning_rate': 0.0005859566451596821, 'dropout': 0.0}"
Hybrid_Delta_H_No_MFDFA_BI-GRU,"{'hidden_dim': 32, 'num_layers': 1, 'learning_rate': 0.0012513176228275424, 'dropout': 0.16706974109263772}"
Hybrid_Delta_H_With_MFDFA_Ridge,{'alpha': 99.14746845796519}
Hybrid_Delta_H_With_MFDFA_LSTM,"{'hidden_dim': 32, 'num_layers': 1, 'learning_rate': 0.000113902759140545, 'dropout': 0.16041519118204306}"
Hybrid_Delta_H_With_MFDFA_BI-LSTM,"{'hidden_dim': 128, 'num_layers': 2, 'learning_rate': 0.0017227298125415044, 'dropout': 0.4149963555344519}"
