Model,MSE,RMSE,MAE,MAPE,R-Squared
"GARCH(1,1)",0.0005308987786577765,0.023041240822876195,0.01308940933255415,0.2760044198965307,0.10733433469076581
GARCH-MIDAS Only (Benchmark),0.0004624089742980607,0.021503696758884524,0.012229015279742891,0.2664087338697546,0.22249469902657382
GARCH-MIDAS Only (Delta_H),0.00045884151290780914,0.021420586194308717,0.012175006970563167,0.26612166546574795,0.22849311232758973
GARCH-MIDAS Only (Delta_Alpha),0.0004597011330476671,0.021440642085713457,0.012195162543741355,0.26657608946372147,0.2270477268512856
Direct_No_MFDFA_Ridge,0.00042900211184088746,0.020712366157464662,0.01202221133942342,0.2760379862926837,0.27866578153804755
Direct_No_MFDFA_LSTM,0.00045023557487386965,0.021218755262122933,0.011823826820082305,0.2506949789326961,0.24296333849781915
Direct_No_MFDFA_BI-LSTM,0.0004375032579607515,0.020916578543364865,0.011645416309670564,0.24498585428084876,0.26437175495135024
Direct_No_MFDFA_GRU,0.00044871895189653666,0.021182987322295614,0.011695016106480188,0.2462666279473975,0.24551342396327647
Direct_No_MFDFA_BI-GRU,0.00043527421021183495,0.02086322626565304,0.011485478063455389,0.24134346993614328,0.2681197281465858
Direct_With_MFDFA_Ridge,0.0004299434722879049,0.020735078304359136,0.012002485899008045,0.2709581222392413,0.2770829559910438
Direct_With_MFDFA_LSTM,0.0004978415654694597,0.022312363511503206,0.013055578081595947,0.2875233775753324,0.1629175087161856
Direct_With_MFDFA_BI-LSTM,0.0005053621834567665,0.02248026208603375,0.013233538558806662,0.296050710669518,0.15027216514212682
Direct_With_MFDFA_GRU,0.0005080991105306752,0.02254105389130409,0.013003676097455416,0.27899145778449175,0.14567023173118454
Direct_With_MFDFA_BI-GRU,0.000487473217772091,0.022078795659457764,0.012381229860576253,0.2613979219696923,0.18035109185387688
Hybrid_Benchmark_No_MFDFA_Ridge,0.00040779218213658265,0.020193864962819344,0.010879636119443,0.2278656505382818,0.3143286550871691
Hybrid_Benchmark_No_MFDFA_LSTM,0.0004150981827209867,0.020373958445058897,0.010813274288870472,0.2185271637063755,0.3020441742508876
Hybrid_Benchmark_No_MFDFA_BI-LSTM,0.00041728058962495803,0.020427446967865515,0.010914964200100763,0.22043393280764365,0.29837462406688764
Hybrid_Benchmark_No_MFDFA_GRU,0.0004170938189872915,0.020422874895256335,0.010997064952270114,0.22533318262425597,0.29868866460010246
Hybrid_Benchmark_No_MFDFA_BI-GRU,0.0004162784551606591,0.020402903106192,0.011048213586734806,0.22723583888577614,0.30005963647276346
Hybrid_Benchmark_With_MFDFA_Ridge,0.00041605827284041814,0.020397506534878672,0.011074112214908755,0.22982081117032022,0.3004298561931481
Hybrid_Benchmark_With_MFDFA_LSTM,0.00042710733924611815,0.020666575411666978,0.01118875130958482,0.22773653610671776,0.2818516966444934
Hybrid_Benchmark_With_MFDFA_BI-LSTM,0.00043511919189245704,0.02085951082581893,0.011291531109007606,0.2268386651684029,0.26838037958668226
Hybrid_Benchmark_With_MFDFA_GRU,0.00043706774800961217,0.020906165310970164,0.011081479550933243,0.22702171358898024,0.26510403160353124
Hybrid_Benchmark_With_MFDFA_BI-GRU,0.00043306301025837685,0.020810166031494725,0.011204800269686547,0.23183569182945798,0.27183769163969407
Hybrid_Delta_H_No_MFDFA_Ridge,0.00040672980697022793,0.02016754340444636,0.010857452006529246,0.22781675987097125,0.3161149576231811
Hybrid_Delta_H_No_MFDFA_LSTM,0.00041557851843291064,0.02038574301890688,0.010823520081586695,0.21873021321681504,0.30123652651257415
Hybrid_Delta_H_No_MFDFA_BI-LSTM,0.00041365298960814763,0.020338460846586883,0.010840676058864629,0.2175266725616231,0.30447415586590354
Hybrid_Delta_H_No_MFDFA_GRU,0.00041403270089907223,0.020347793514262726,0.010760579263048096,0.21714518106048555,0.30383570039046326
