Model,MSE,RMSE,MAE,MAPE,R-Squared
Direct_No_MFDFA_Ridge,0.000429002443516445,0.020712374164166814,0.01202220025971218,0.27603717641616826,0.2786652238509816
Direct_No_MFDFA_LSTM,0.00045362555194232646,0.02129848708106579,0.01165095544798746,0.24282070512081913,0.23726335150058464
Direct_No_MFDFA_BI-LSTM,0.00043205132974671304,0.020785844455944363,0.011578903682663578,0.2457779655628109,0.27353875499363123
Direct_No_MFDFA_GRU,0.00044823163578359455,0.021171481662453258,0.0117437516794303,0.24739849139407305,0.24633280871167462
Direct_No_MFDFA_BI-GRU,0.0004320525334791081,0.02078587341150494,0.011553469607750732,0.2428846143695646,0.27353673100973364
Direct_With_MFDFA_Ridge,0.000429942427111839,0.020735053101254383,0.012002486784103686,0.2709596354835476,0.2770847133746087
Direct_With_MFDFA_LSTM,0.0004890371928003248,0.02211418532979058,0.012465584637866076,0.26766823751475766,0.1777213875388003
Direct_With_MFDFA_BI-LSTM,0.0004607832459312525,0.02146586233840263,0.012961684680154358,0.28656242046431135,0.2252282368543268
Direct_With_MFDFA_GRU,0.00046686745803478397,0.021607115912004173,0.012044133947118122,0.2584160729586769,0.2149980998421217
Direct_With_MFDFA_BI-GRU,0.0004868437441952444,0.022064535893493078,0.012905301401710818,0.27754647746363215,0.1814095034981662
Hybrid_Benchmark_No_MFDFA_Ridge,0.0004077912771404873,0.02019384255510791,0.010879621169177423,0.22786532982889124,0.3143301767688419
Hybrid_Benchmark_No_MFDFA_LSTM,0.0004165850964286946,0.020410416370782215,0.010856167999916674,0.2186135222338612,0.2995440426485806
Hybrid_Benchmark_No_MFDFA_BI-LSTM,0.0004126211505891484,0.02031307831396188,0.010796106378035577,0.21828554328004346,0.3062091142071446
Hybrid_Benchmark_No_MFDFA_GRU,0.0004137021262895805,0.02033966878514939,0.010984704802032636,0.224337154232625,0.3043915362966265
Hybrid_Benchmark_No_MFDFA_BI-GRU,0.00041308010131412253,0.020324372101349714,0.011023128222630622,0.22512654705646942,0.30543742368774085
