Model,MSE,RMSE,MAE,MAPE,R-Squared
Direct_No_MFDFA_Ridge,0.0004290020925976812,0.020712365692930425,0.012022211982327655,0.2760380332860256,0.2786658138940262
Direct_No_MFDFA_LSTM,0.0004270877084308874,0.020666100465034216,0.011750802423557348,0.2601019196475519,0.2818847043579088
Direct_No_MFDFA_BI-LSTM,0.0004261227366390602,0.020642740531214846,0.011706151266920145,0.2610331527586991,0.28350723057417526
Direct_No_MFDFA_GRU,0.00042994981951031307,0.02073523135897724,0.011696472601243103,0.25466220327085204,0.27707228362233316
Direct_No_MFDFA_BI-GRU,0.0004321621353496362,0.0207885096952532,0.01196374440033068,0.25823563469478494,0.2733524438525443
Direct_With_MFDFA_Ridge,0.0004299390481440815,0.02073497162149207,0.012002489888126796,0.27096454653964813,0.2770903948502921
Direct_With_MFDFA_LSTM,0.0004450855336363923,0.021097050353933184,0.012388715514504118,0.2786225082479184,0.25162273869317386
Direct_With_MFDFA_BI-LSTM,0.00044815540649598975,0.02116968130359996,0.012467130036172298,0.27546291894597896,0.24646098242476522
Direct_With_MFDFA_GRU,0.00043903129756497135,0.020953073702084175,0.012048894595707436,0.27243439348166454,0.2618024733015254
Direct_With_MFDFA_BI-GRU,0.0004311695935679962,0.020764623607664942,0.011860363333759404,0.2635924762342184,0.27502132689668113
Hybrid_Benchmark_No_MFDFA_Ridge,0.0005948500263666783,0.024389547481793884,0.010832746085325601,0.2234358650070107,-0.0001947939837256829
Hybrid_Benchmark_No_MFDFA_LSTM,0.00044237772845346886,0.021032777478342438,0.01095529555845217,0.22630094377946303,0.25617570587319494
Hybrid_Benchmark_No_MFDFA_BI-LSTM,0.0004134648034087172,0.02033383395743944,0.010964588730520053,0.2275537312030217,0.304790576557888
Hybrid_Benchmark_No_MFDFA_GRU,0.00043267227124957423,0.020800775736726125,0.010968952979037272,0.22983927806387128,0.27249468937876764
Hybrid_Benchmark_No_MFDFA_BI-GRU,0.00042736688302454486,0.020672853770695155,0.011226667668417416,0.23425539777794893,0.2814152936445997
Hybrid_Benchmark_With_MFDFA_Ridge,0.000609541604402429,0.02468889637878593,0.011041058061304334,0.22507121480626166,-0.024897558067837222
Hybrid_Benchmark_With_MFDFA_LSTM,0.00044629830694421015,0.021125773522979226,0.011347877817103691,0.23473449425098583,0.24958355319263548
Hybrid_Benchmark_With_MFDFA_BI-LSTM,0.0005182309117664804,0.022764685628544938,0.01177454621017103,0.24521390010091074,0.12863438336512356
Hybrid_Benchmark_With_MFDFA_GRU,0.0004299363472630424,0.020734906492748947,0.011232289904473624,0.23534167295747566,0.2770949361750542
