Model,MSE,RMSE,MAE,MAPE,R-Squared
Direct_No_MFDFA_Ridge,0.00042892313244256977,0.02071045949375749,0.012024991168452468,0.27623754594247013,0.27879857935182906
Direct_No_MFDFA_LSTM,0.00042989300956147275,0.02073386142428546,0.011680281792037015,0.25997339643089723,0.2771678052035016
Direct_No_MFDFA_BI-LSTM,0.0004340243420732139,0.02083325087626062,0.01207961771699566,0.27432409896212673,0.2702212857661601
Direct_No_MFDFA_GRU,0.00043026104753502044,0.020742734813303198,0.01171902800514708,0.2562770662473358,0.2765489775178426
Direct_No_MFDFA_BI-GRU,0.0004285523078158519,0.020701504964998365,0.011680332640393355,0.25334289994331,0.2794220925815242
Direct_With_MFDFA_Ridge,0.0004299434722879049,0.020735078304359136,0.012002485899008045,0.2709581222392413,0.2770829559910438
Direct_With_MFDFA_LSTM,0.000446490789230412,0.02113032865883567,0.01256883257944872,0.28664083211778457,0.2492599089595351
Direct_With_MFDFA_BI-LSTM,0.00044224370190037857,0.02102959110159726,0.012136987546259456,0.2714504716190989,0.25640106126483087
Direct_With_MFDFA_GRU,0.0004483203259447131,0.021173576125555954,0.012346627650532835,0.2775396510358309,0.2461836829934324
Direct_With_MFDFA_BI-GRU,0.0004565877222902869,0.0213679133817574,0.012917934683940636,0.2946364132380253,0.2322826887627525
Hybrid_Benchmark_No_MFDFA_Ridge,0.0005948868214697071,0.02439030179127981,0.01083277032790186,0.22343608381124433,-0.00025666213344788247
Hybrid_Benchmark_No_MFDFA_LSTM,0.00041984351220454585,0.02049008326494907,0.010903928146749243,0.22539694820490586,0.29406526589614945
Hybrid_Benchmark_No_MFDFA_BI-LSTM,0.0004219056123429573,0.020540341096071342,0.010974072699739741,0.22782266673180152,0.29059800233106237
Hybrid_Benchmark_No_MFDFA_GRU,0.000428292139695986,0.020695220213759167,0.010854537879425183,0.22555781989172863,0.27985954536376545
