Model,MSE,RMSE,MAE,MAPE,R-Squared
"GARCH(1,1)",0.0005308987786577765,0.023041240822876195,0.01308940933255415,0.2760044198965307,0.10733433469076581
GARCH-MIDAS Only (Benchmark),0.0004624089742980607,0.021503696758884524,0.012229015279742891,0.2664087338697546,0.22249469902657382
GARCH-MIDAS Only (Delta_H),0.00045884151290780914,0.021420586194308717,0.012175006970563167,0.26612166546574795,0.22849311232758973
GARCH-MIDAS Only (Delta_Alpha),0.0004597011330476671,0.021440642085713457,0.012195162543741355,0.26657608946372147,0.2270477268512856
Direct_No_MFDFA_Ridge,0.00042900211184088746,0.020712366157464662,0.01202221133942342,0.2760379862926837,0.27866578153804755
Direct_No_MFDFA_LSTM,0.0004719997053963255,0.021725554202282747,0.012646201354899219,0.2794252866792669,0.20636861868734357
Direct_No_MFDFA_BI-LSTM,0.0004752588761609372,0.02180043293517212,0.013132804030099893,0.2910381922297057,0.20088857247909275
Direct_No_MFDFA_GRU,0.0004742456289092586,0.021777181381190235,0.012484339455063415,0.269435653753111,0.2025922701864583
Direct_No_MFDFA_BI-GRU,0.0004620056925753308,0.021494317681083314,0.012481392084847727,0.26921249747990256,0.2231727863791909
Direct_With_MFDFA_Ridge,0.0004299434722879049,0.020735078304359136,0.012002485899008045,0.2709581222392413,0.2770829559910438
Direct_With_MFDFA_LSTM,0.0005268264162471794,0.022952699541604674,0.013658412679756234,0.3064736359156558,0.11418170041616205
Direct_With_MFDFA_BI-LSTM,0.0005312680350045714,0.02304925237409169,0.013669847845063443,0.30323589087972713,0.1067134584037368
Direct_With_MFDFA_GRU,0.0005290350402542861,0.023000761732044572,0.013699914399065432,0.29989708601569637,0.11046806817970012
Direct_With_MFDFA_BI-GRU,0.0005152674185037338,0.022699502604765016,0.013492661075533005,0.29850761347287935,0.1336172704829226
Hybrid_Benchmark_No_MFDFA_Ridge,0.0004079258042944954,0.020197173175830706,0.01088184685007219,0.22791316311309154,0.31410397965507486
Hybrid_Benchmark_No_MFDFA_LSTM,0.0004256974505356822,0.02063243685403356,0.011211487679909109,0.23102224307577243,0.28422231660880215
Hybrid_Benchmark_No_MFDFA_BI-LSTM,0.00043239107448877286,0.02079401535271081,0.011316620673434785,0.2316937445999071,0.27296750021136773
Hybrid_Benchmark_No_MFDFA_GRU,0.0004356176159322845,0.020871454571550218,0.011587366626678607,0.23936906296422714,0.26754231770934356
Hybrid_Benchmark_No_MFDFA_BI-GRU,0.00042576912479887284,0.02063417371253021,0.011381843499955434,0.2376070494516727,0.2841018018206567
Hybrid_Benchmark_With_MFDFA_Ridge,0.00041690203170254464,0.020418178951673055,0.011089764742027526,0.22987071988312166,0.2990111402414465
Hybrid_Benchmark_With_MFDFA_LSTM,0.0004594053081479937,0.021433742280525667,0.011832450616989934,0.24491555280061647,0.22754513377987118
Hybrid_Benchmark_With_MFDFA_BI-LSTM,0.0004666688353855812,0.021602519190723594,0.01215428134506195,0.2543117114530895,0.2153320686256709
Hybrid_Benchmark_With_MFDFA_GRU,0.00044866384336510445,0.02118168650898942,0.011980575464325802,0.25782141747588216,0.24560608474128687
Hybrid_Benchmark_With_MFDFA_BI-GRU,0.0004798120988116483,0.02190461364214508,0.012377054243244198,0.26292848408366093,0.19323267706137492
Hybrid_Delta_H_No_MFDFA_Ridge,0.0004068551742693621,0.020170651309993987,0.010859572859240607,0.22786202538604822,0.31590416210435823
Hybrid_Delta_H_No_MFDFA_LSTM,0.00042051146966740267,0.02050637631731659,0.01108114484215157,0.22827075566259097,0.2929421465428015
Hybrid_Delta_H_No_MFDFA_BI-LSTM,0.00042229789452951364,0.020549887944451513,0.011149911656056834,0.22953653982180394,0.28993840985669916
Hybrid_Delta_H_No_MFDFA_GRU,0.0004404483635875923,0.020986861689818996,0.011708511087916403,0.24292379582783122,0.25941978523607523
