Model,MSE,RMSE,MAE,MAPE,R-Squared
Direct_No_MFDFA_Ridge,0.000429001064312366,0.02071234086993467,0.012022246409923349,0.2760405461949122,0.2786675428770864
Direct_No_MFDFA_LSTM,0.00045439346689666384,0.02131650691123346,0.012310019289836202,0.2688973350853248,0.2359721612753075
Direct_No_MFDFA_BI-LSTM,0.0004368189405943146,0.02090021388872168,0.01221872109913698,0.2668688252220694,0.26552238223050395
Direct_No_MFDFA_GRU,0.0004430540018161367,0.0210488479926132,0.01194316055413558,0.25965072730727984,0.2550386039707513
Direct_No_MFDFA_BI-GRU,0.00044442316469186875,0.021081346368101557,0.012021855496872867,0.2592083685209397,0.25273646138064765
Direct_With_MFDFA_Ridge,0.0004299434722879049,0.020735078304359136,0.012002485899008045,0.2709581222392413,0.2770829559910438
Direct_With_MFDFA_LSTM,0.0004652787239225763,0.021570320440887667,0.012548289054922671,0.27646432674589816,0.21766943466202626
Direct_With_MFDFA_BI-LSTM,0.0004990041302354564,0.02233840035086345,0.013920293753688603,0.3158506871779216,0.16096274503613495
Direct_With_MFDFA_GRU,0.0004646140580677945,0.02155490798096328,0.012418060019690336,0.27222619570753853,0.21878701942831102
Direct_With_MFDFA_BI-GRU,0.00046825247009945074,0.02163914208325854,0.0124497876842373,0.27267930825003195,0.21266930805380224
Hybrid_Benchmark_No_MFDFA_Ridge,0.0005953838154949192,0.024400488017556517,0.010833097740573654,0.22343904172780907,-0.0010923195506533645
Hybrid_Benchmark_No_MFDFA_LSTM,0.00041423508934906617,0.020352766135075254,0.010984190483612363,0.2293463620640043,0.30349539970108985
Hybrid_Benchmark_No_MFDFA_BI-LSTM,0.0004126645924115045,0.020314147592540143,0.011047711257559763,0.2289037448067989,0.3061360701075636
Hybrid_Benchmark_No_MFDFA_GRU,0.00041626974035344335,0.0204026895372508,0.010976041167321749,0.23002385818783894,0.30007428975413086
Hybrid_Benchmark_No_MFDFA_BI-GRU,0.0004173145290102702,0.020428277680956616,0.011130456611795212,0.23314898632929928,0.29831755758795064
Hybrid_Benchmark_With_MFDFA_Ridge,0.0006081955596410473,0.0246616211884184,0.011039410404506653,0.22505865219256602,-0.022634286817726723
