Model,MSE,RMSE,MAE,MAPE,R-Squared
Hybrid_Delta_H_No_MFDFA_Ridge,0.0006256333115403369,0.025012663023763322,0.010820712750029613,0.2233961907334147,-0.051954532081863736
Hybrid_Delta_H_No_MFDFA_LSTM,0.000437486241304246,0.020916171765030186,0.010888236358197863,0.22604726597040226,0.26440036715693704
Hybrid_Delta_H_No_MFDFA_BI-LSTM,0.0004324558083030495,0.02079557184361732,0.010906120949421217,0.2264561149166422,0.27285865525690134
Hybrid_Delta_H_No_MFDFA_GRU,0.00043819984400148297,0.020933223449853176,0.010958054352869284,0.22705334829453264,0.26320049883532215
Hybrid_Delta_H_No_MFDFA_BI-GRU,0.0004299478777197462,0.020735184535464017,0.011279388426717243,0.2365160668961569,0.2770755485945614
Hybrid_Delta_H_With_MFDFA_Ridge,0.0006344284514363053,0.02518786317725871,0.010995131189388213,0.22400305936682088,-0.06674288670300577
Hybrid_Delta_H_With_MFDFA_LSTM,0.00043051445742879705,0.02074884231538707,0.011090603192365272,0.22867745665019032,0.27612288817554653
Hybrid_Delta_H_With_MFDFA_BI-LSTM,0.0005317766080823397,0.023060282046894823,0.01152268866376941,0.2389384178303476,0.10585833169583181
Hybrid_Delta_H_With_MFDFA_GRU,0.00043272137388033403,0.020801956010922003,0.011191120735806713,0.22975101381741536,0.27241212706309137
Hybrid_Delta_H_With_MFDFA_BI-GRU,0.0004357350535662275,0.020874267737245957,0.01159179912454291,0.24866433460799608,0.26734485531566266
