Model,MSE,RMSE,MAE,MAPE,R-Squared
"GARCH(1,1)",0.0005308987786577765,0.023041240822876195,0.01308940933255415,0.2760044198965307,0.10733433469076581
GARCH-MIDAS Only (Benchmark),0.0004624089742980607,0.021503696758884524,0.012229015279742891,0.2664087338697546,0.22249469902657382
GARCH-MIDAS Only (Delta_H),0.00045884151290780914,0.021420586194308717,0.012175006970563167,0.26612166546574795,0.22849311232758973
GARCH-MIDAS Only (Delta_Alpha),0.0004597011330476671,0.021440642085713457,0.012195162543741355,0.26657608946372147,0.2270477268512856
Direct_No_MFDFA_Ridge,0.00042900211184088746,0.020712366157464662,0.01202221133942342,0.2760379862926837,0.27866578153804755
Direct_No_MFDFA_LSTM,0.0004810762284450588,0.021933449989572064,0.012236819835028761,0.2571088135731734,0.19110713982977978
Direct_No_MFDFA_BI-LSTM,0.0004752276340751473,0.02179971637602534,0.012287808940865324,0.2636192608107158,0.20094110365531392
Direct_No_MFDFA_GRU,0.000490694143938366,0.0221516171856225,0.012243179509767155,0.25495649830361083,0.17493535101077506
Direct_No_MFDFA_BI-GRU,0.00046748806546701333,0.021621472324220046,0.01195495595306353,0.2509344452251505,0.21395459594145816
Direct_With_MFDFA_Ridge,0.0004308676581391534,0.020757351905750246,0.012013629075509685,0.27085785897569314,0.275529008212411
Direct_With_MFDFA_LSTM,0.0005206959855829425,0.022818763892528064,0.013338770888817362,0.29199278333091405,0.12448955040097198
Direct_With_MFDFA_BI-LSTM,0.0005168441720642713,0.022734207091171472,0.013372699947452668,0.293675138438525,0.1309660800437501
Direct_With_MFDFA_GRU,0.0005444623194431539,0.023333716365876094,0.01339624708595755,0.2837182626663982,0.08452827891166104
Direct_With_MFDFA_BI-GRU,0.0005097592318130207,0.02257784825471685,0.012953166407352576,0.276266673866855,0.14287886484813095
Hybrid_Benchmark_No_MFDFA_Ridge,0.0004079258042944954,0.020197173175830706,0.01088184685007219,0.22791316311309154,0.31410397965507486
Hybrid_Benchmark_No_MFDFA_LSTM,0.0004198757291882181,0.020490869410257295,0.01092183143943818,0.21956196289285984,0.2940110955037504
Hybrid_Benchmark_No_MFDFA_BI-LSTM,0.0004247613125048671,0.020609738292973714,0.011158563291143071,0.2260050738608893,0.28579636106264616
Hybrid_Benchmark_No_MFDFA_GRU,0.0004272552747331289,0.020670154201967845,0.01126157761790456,0.22834952140098827,0.28160295444495553
Hybrid_Benchmark_No_MFDFA_BI-GRU,0.0004182412189766174,0.02045094665233415,0.011077320102083843,0.22594413005712138,0.2967593993314257
Hybrid_Benchmark_With_MFDFA_Ridge,0.00041736484543134964,0.020429509182340863,0.011085574340797655,0.2296557590449961,0.29823295437674646
Hybrid_Benchmark_With_MFDFA_LSTM,0.0004612531079858665,0.021476803951842243,0.011580265052656647,0.23372092510221087,0.22443819976920487
Hybrid_Benchmark_With_MFDFA_BI-LSTM,0.0004493335674953231,0.021197489650789384,0.011354714473375728,0.23129202811805552,0.24447999487197736
Hybrid_Benchmark_With_MFDFA_GRU,0.0004623656540476479,0.02150268946080113,0.011918554768766746,0.24704204530029714,0.22256753871223633
Hybrid_Benchmark_With_MFDFA_BI-GRU,0.0004475786258767131,0.02115605411877917,0.011736391187707331,0.24330444227825584,0.24743079489362363
Hybrid_Delta_H_No_MFDFA_Ridge,0.0004068551742693621,0.020170651309993987,0.010859572859240607,0.22786202538604822,0.31590416210435823
Hybrid_Delta_H_No_MFDFA_LSTM,0.00042247048621587744,0.02055408684947783,0.010858885285065893,0.21752675955859554,0.28964821014494935
Hybrid_Delta_H_No_MFDFA_BI-LSTM,0.0004234732680275861,0.020578466124266552,0.011021531631331362,0.22139049587796636,0.28796210927394716
Hybrid_Delta_H_No_MFDFA_GRU,0.00043049510265128063,0.02074837590394199,0.011182240154172554,0.2261602149088555,0.2761554317526711
