Model,MSE,RMSE,MAE,MAPE,R-Squared
Direct_No_MFDFA_Ridge,0.0004301450278995248,0.020739937991699126,0.012046699017974768,0.2765125240441771,0.2782193185898518
Direct_No_MFDFA_LSTM,0.00043945662448043846,0.020963220756373253,0.011528773578457996,0.24437664638071674,0.2625945174431136
Direct_No_MFDFA_BI-LSTM,0.0004306228707601938,0.02075145466612386,0.011666244789305126,0.25001479858436193,0.27741750124172426
Direct_No_MFDFA_GRU,0.0004446783038435646,0.021087396801017535,0.011600431214384832,0.24605013582146068,0.2538325719494582
Direct_No_MFDFA_BI-GRU,0.00043163880879734396,0.02077591896396749,0.011387613846616712,0.2429651129601744,0.2757127635342922
Direct_With_MFDFA_Ridge,0.0004293547571869359,0.0207208773266707,0.011920635802128054,0.26796894376077296,0.27954538793027006
Direct_With_MFDFA_LSTM,0.0004586402741336917,0.021415888357331613,0.011990804648791487,0.2592739829258969,0.2304044726429374
Direct_With_MFDFA_BI-LSTM,0.0004553561827857698,0.021339076427665978,0.012116029215719356,0.2609760322078366,0.2359151574984415
Direct_With_MFDFA_GRU,0.00046380909261417867,0.02153622744619351,0.011859386285067046,0.251697235283917,0.2217312273815678
Direct_With_MFDFA_BI-GRU,0.000456196259156194,0.02135875134824585,0.011845235877861945,0.25196061614551063,0.23450551457395563
Hybrid_Benchmark_No_MFDFA_Ridge,0.0004103748684995976,0.020257711334195617,0.010918526718800203,0.22873449213344657,0.3113935230969882
Hybrid_Benchmark_No_MFDFA_LSTM,0.0004171270848796477,0.02042368930628469,0.011009013112515549,0.22375112695119215,0.30006334600853013
Hybrid_Benchmark_No_MFDFA_BI-LSTM,0.00041450407856436666,0.020359373236039625,0.010819323528871723,0.2194947590133461,0.3044647342910629
Hybrid_Benchmark_No_MFDFA_GRU,0.00040508683595963174,0.02012676913862808,0.010738735412409073,0.21700604945968122,0.32026680880867875
Hybrid_Benchmark_No_MFDFA_BI-GRU,0.00041253764227877594,0.020311022679293526,0.010821650976200426,0.21883120259539754,0.307764402147493
Hybrid_Benchmark_With_MFDFA_Ridge,0.000415834468487984,0.020392019725568724,0.01096846165595215,0.2262391609858405,0.30223234827395884
Hybrid_Benchmark_With_MFDFA_LSTM,0.0004295701831777833,0.0207260749583172,0.011320427296794427,0.23423498395900122,0.2791839044575293
Hybrid_Benchmark_With_MFDFA_BI-LSTM,0.00042625479143234445,0.020645938860520352,0.011379331821427483,0.23580152482292271,0.2847471111853853
Hybrid_Benchmark_With_MFDFA_GRU,0.0004174608585810381,0.02043185891153906,0.011084216808070564,0.22660274101172478,0.29950327581359437
Hybrid_Benchmark_With_MFDFA_BI-GRU,0.00042440172897619514,0.020601012814330154,0.010911593202354368,0.22115413289048863,0.28785653846117254
Hybrid_Delta_H_No_MFDFA_Ridge,0.0004098541007517323,0.020244853685609396,0.010911977999837405,0.22898547493366606,0.3122673681388479
Hybrid_Delta_H_No_MFDFA_LSTM,0.0004140313089839518,0.020347759311136738,0.010796575017786697,0.21894691737135516,0.3052580387064787
Hybrid_Delta_H_No_MFDFA_BI-LSTM,0.0004143247895833339,0.020354969653215746,0.010895114701740566,0.22085291774355706,0.30476558008609866
Hybrid_Delta_H_No_MFDFA_GRU,0.00040965420116217477,0.020239916036440833,0.01080830735846762,0.21868315779773057,0.31260279840679506
Hybrid_Delta_H_No_MFDFA_BI-GRU,0.0004093189413875642,0.02023163219781252,0.011050838334763636,0.22807216103242217,0.31316536222335134
Hybrid_Delta_H_With_MFDFA_Ridge,0.0004144943821807958,0.02035913510394771,0.010944833980615916,0.2257436158208818,0.3044810047623855
Hybrid_Delta_H_With_MFDFA_LSTM,0.0004257652114936173,0.020634078886483335,0.010876969146286391,0.2201037332602859,0.28556862327749233
Hybrid_Delta_H_With_MFDFA_BI-LSTM,0.0004351599759133517,0.02086048839105527,0.011466332237890465,0.23757850921140344,0.2698042670144981
Hybrid_Delta_H_With_MFDFA_GRU,0.00040317023347532995,0.02007909941893137,0.010969054750978304,0.22905936398922122,0.32348285585650116
Hybrid_Delta_H_With_MFDFA_BI-GRU,0.0004222541179977426,0.020548822788611094,0.011273897932108331,0.23269240962182908,0.2914602163253589
Hybrid_Delta_Alpha_No_MFDFA_Ridge,0.0004102341276144618,0.02025423727555451,0.010925695187146808,0.22929167511808904,0.3116296854268694
Hybrid_Delta_Alpha_No_MFDFA_LSTM,0.00042071712879890696,0.020511390221018833,0.010905003450336516,0.22080046452515784,0.2940392746412782
Hybrid_Delta_Alpha_No_MFDFA_BI-LSTM,0.00041334086217852323,0.020330786068878972,0.01094657326651329,0.2235826905742679,0.30641660415156413
Hybrid_Delta_Alpha_No_MFDFA_GRU,0.0004093758007271794,0.020233037357924772,0.010755159646184188,0.21960357025057384,0.31306995260512926
Hybrid_Delta_Alpha_No_MFDFA_BI-GRU,0.0004167785377085277,0.020415154608979275,0.011054068732120299,0.2266580931593096,0.3006482059937846
Hybrid_Delta_Alpha_With_MFDFA_Ridge,0.0004147807825932481,0.020366167597102015,0.010951465298927227,0.22595344356242472,0.3040004266516366
Hybrid_Delta_Alpha_With_MFDFA_LSTM,0.0004258317637565117,0.020635691501777007,0.010894173442273888,0.22059140836361577,0.28545694899429574
Hybrid_Delta_Alpha_With_MFDFA_BI-LSTM,0.0004169567704131511,0.020419519348240083,0.011090646345947525,0.22737344253957903,0.3003491326239939
Hybrid_Delta_Alpha_With_MFDFA_GRU,0.0004128798475585703,0.0203194450603005,0.011142267076639205,0.23005620671496568,0.3071901838164379
Hybrid_Delta_Alpha_With_MFDFA_BI-GRU,0.00043107785820997035,0.020762414556355684,0.011598151354281123,0.240926761466333,0.2766540351309188
