Model,MSE,RMSE,MAE,MAPE,R-Squared
"GARCH(1,1)",0.0005308987786577765,0.023041240822876195,0.01308940933255415,0.2760044198965307,0.10733433469076581
GARCH-MIDAS Only (Benchmark),0.0004624089742980607,0.021503696758884524,0.012229015279742891,0.2664087338697546,0.22249469902657382
GARCH-MIDAS Only (Delta_H),0.00045884151290780914,0.021420586194308717,0.012175006970563167,0.26612166546574795,0.22849311232758973
GARCH-MIDAS Only (Delta_Alpha),0.0004597011330476671,0.021440642085713457,0.012195162543741355,0.26657608946372147,0.2270477268512856
Direct_No_MFDFA_Ridge,0.0004296087795070863,0.02072700604301273,0.012032560858481834,0.27631365795909946,0.2776457162871194
Direct_No_MFDFA_LSTM,0.0004983977367130128,0.02232482332993954,0.012387640293462426,0.26045964672995936,0.16198234933531952
Direct_No_MFDFA_BI-LSTM,0.0005141657767268533,0.022675223851747382,0.012514987107677516,0.26247348800001635,0.13546959681936233
Direct_No_MFDFA_GRU,0.0005022254064704114,0.022410386129435866,0.012245598553239279,0.2574796718466486,0.15554641557933935
Direct_No_MFDFA_BI-GRU,0.000482556610287773,0.021967171194484124,0.012110062662487051,0.2576654294215777,0.1886179910585598
Direct_With_MFDFA_Ridge,0.00043150087995504543,0.020772599258519514,0.012025293721423915,0.2711546020172023,0.2744642941910288
Direct_With_MFDFA_LSTM,0.0005435197919479433,0.023313510931387903,0.013415484705463115,0.28965488317838567,0.08611306676088437
Direct_With_MFDFA_BI-LSTM,0.0005558989578002495,0.023577509575870167,0.013640036863860155,0.29547985426827966,0.06529844678857999
Direct_With_MFDFA_GRU,0.0005073044264962279,0.022523419511615635,0.012744971159810627,0.26933745076883914,0.14700643211596243
Direct_With_MFDFA_BI-GRU,0.0004964869980667535,0.022281988198245537,0.01282449121628018,0.28072436619088353,0.1651951101354242
Hybrid_Benchmark_No_MFDFA_Ridge,0.0004082814392372797,0.02020597533496663,0.010887507142389667,0.22803139802606445,0.3135060067164096
Hybrid_Benchmark_No_MFDFA_LSTM,0.0004289572210966402,0.02071128245900384,0.010963318337581745,0.22145245293762075,0.27874126188889914
Hybrid_Benchmark_No_MFDFA_BI-LSTM,0.00043068161499551803,0.02075287004237048,0.01101648665983232,0.22216254188949353,0.2758418255200895
Hybrid_Benchmark_No_MFDFA_GRU,0.0004329539659985047,0.020807545890818183,0.011006178843491513,0.22373682141536685,0.2720210412172407
Hybrid_Benchmark_No_MFDFA_BI-GRU,0.0004218880663884529,0.02053991398201202,0.01092133216443174,0.2204969227001574,0.29062750451072605
Hybrid_Benchmark_With_MFDFA_Ridge,0.0004177117309024252,0.02043799723315436,0.011090950313919677,0.22977749125050795,0.29764969300514077
Hybrid_Benchmark_With_MFDFA_LSTM,0.0004804908765753275,0.021920102111425657,0.011816522942048834,0.23891891483143865,0.1920913642002986
Hybrid_Benchmark_With_MFDFA_BI-LSTM,0.0004765485157828102,0.021829991199787742,0.011945066058103007,0.24319063606453803,0.19872014215424083
Hybrid_Benchmark_With_MFDFA_GRU,0.0004662292391036676,0.02159234214029751,0.01160836433727211,0.23390004032158543,0.21607121613031188
Hybrid_Benchmark_With_MFDFA_BI-GRU,0.0004724294194292036,0.021735441551282174,0.011706308610249594,0.2352811425217369,0.2056460874281426
Hybrid_Delta_H_No_MFDFA_Ridge,0.00040721591866014437,0.020179591637596247,0.010864720864917132,0.2279704518039015,0.3152975980199231
Hybrid_Delta_H_No_MFDFA_LSTM,0.0004294668320124568,0.020723581544039554,0.01098285873252232,0.22187056554646492,0.2778843901357442
Hybrid_Delta_H_No_MFDFA_BI-LSTM,0.0004242286218770005,0.02059681096376331,0.010931805658203073,0.2216867264777438,0.28669203958526546
Hybrid_Delta_H_No_MFDFA_GRU,0.00042389591739394356,0.02058873277775841,0.010940976871975212,0.222156455100125,0.2872514567108242
