Model,MSE,RMSE,MAE,MAPE,R-Squared
"GARCH(1,1)",0.000532316059778029,0.02307197563664692,0.013116272981468351,0.27648372614156624,0.10677696257854297
GARCH-MIDAS Only (Benchmark),0.0005137322553738523,0.02266566247374765,0.012076012061611506,0.3230126221577198,-0.037222711311122314
GARCH-MIDAS Only (Delta_H),0.0005151348750856466,0.02269658289447217,0.012056998798561699,0.31642830529848004,-0.04005459310399706
GARCH-MIDAS Only (Delta_Alpha),0.0005141415961121057,0.02267469065085797,0.012049773480387566,0.3175915114285393,-0.03804916810051018
Direct_No_MFDFA_Ridge,0.0004386860618990474,0.020944833775875315,0.011921827940350077,0.261910026933127,0.263887516661962
Direct_No_MFDFA_LSTM,0.0005412754967730791,0.023265328211161757,0.013108865811538072,0.27793942636007973,0.09174308302653045
Direct_No_MFDFA_BI-LSTM,0.0005037193736597002,0.022443693405045886,0.012584319659866195,0.2714012577327341,0.1547620240201476
Direct_No_MFDFA_GRU,0.00047390655947945865,0.021769395018682965,0.012020081736270997,0.2572087713923538,0.20478774078559925
Direct_No_MFDFA_BI-GRU,0.0004582643630059465,0.02140711010402727,0.011850730427583956,0.2545329882488381,0.2310352491772114
Direct_With_MFDFA_Ridge,0.0005599779860691902,0.023663853998645068,0.013732032056553385,0.29993413063040925,0.06036042231292982
Direct_With_MFDFA_LSTM,0.0005090598141928861,0.0225623539151589,0.012652449941190849,0.27481022039128006,0.14580079802179968
Direct_With_MFDFA_BI-LSTM,0.0004771842921665073,0.021844548339723286,0.011994283761259442,0.25631275399969483,0.19928772572349107
Direct_With_MFDFA_GRU,0.00046511093528980017,0.02156643074988998,0.012076194767510307,0.2609269637119361,0.21954674346904346
Direct_With_MFDFA_BI-GRU,0.00046227069913316193,0.02150048136980105,0.012171256567688324,0.26610516378064253,0.22431264207425283
Hybrid_Benchmark_No_MFDFA_Ridge,0.0006751451956342725,0.025983556254567473,0.01513873096428173,0.32524073429126427,-0.13102535920462843
Hybrid_Benchmark_No_MFDFA_LSTM,0.0005841858085478001,0.024169936047656396,0.013870135592966258,0.29627021986101887,0.021352787181884825
Hybrid_Benchmark_No_MFDFA_BI-LSTM,0.0005833697282342658,0.02415304801126073,0.013984170041830354,0.29897815807947037,0.022719911669659365
Hybrid_Benchmark_No_MFDFA_GRU,0.0005737459730172775,0.023952995074046118,0.01387824975866558,0.29620375186982556,0.03884194182195244
Hybrid_Benchmark_No_MFDFA_BI-GRU,0.0005616631440070998,0.023699433411098668,0.01381789994626016,0.29538345603894284,0.059083492987262454
Hybrid_Benchmark_With_MFDFA_Ridge,0.0010204726582835014,0.03194483774076026,0.017414373416847425,0.36405744339643303,-0.7095292425346993
Hybrid_Benchmark_With_MFDFA_LSTM,0.0005746800230868607,0.023972484708241253,0.014143863676278744,0.3050312444332396,0.037277190532456816
Hybrid_Benchmark_With_MFDFA_BI-LSTM,0.0005798831701466369,0.024080763487618846,0.014075964091386919,0.3025891259385967,0.02856070804790145
